serial number: RI70_21209062
torque: 8
start_temp: 244 (7)
finish_temp: 246 (35)
note: montaz przymiar
0.000000 0.624468 125.374508 12059.652850
0.020010 0.627494 120.178526 12092.873684
0.040020 0.625754 117.535238 12114.613757
0.060030 0.629441 117.119585 12145.808290
0.080041 0.628556 122.598526 12170.952632
0.100051 0.628247 118.481489 12194.898936
0.120061 0.631477 108.360421 12219.326316
0.140071 0.629737 119.078964 12241.150259
0.160081 0.631036 118.171579 12262.989474
0.180091 0.632499 109.050737 12283.400000
0.200101 0.630530 107.636559 12301.387097
0.220112 0.634106 111.653750 12321.572917
0.240122 0.632896 113.964188 12341.151832
0.260132 0.633269 121.300632 12355.773684
0.280142 0.635636 118.022979 12375.734043
0.300152 0.633062 106.177053 12395.863158
0.320162 0.636869 114.628783 12410.994709
0.340172 0.636054 117.573048 12427.192513
0.360183 0.634564 115.670105 12445.836842
0.380193 0.638940 119.787090 12466.698413
0.400203 0.635728 112.538723 12481.579787
0.420213 0.638855 110.776129 12494.064516
0.440223 0.640771 121.386383 12517.308511
0.460233 0.638223 126.184468 12538.537234
0.480243 0.642753 128.054624 12551.456989
0.500254 0.641645 116.489101 12571.756614
0.520264 0.641575 106.311872 12597.593583
0.540274 0.645371 117.313617 12617.468085
0.560284 0.640521 117.445189 12638.216216
0.580294 0.646282 108.321283 12665.818182
0.600304 0.645144 114.977514 12694.221622
0.620314 0.643960 121.653757 12718.296296
0.640325 0.648956 120.379454 12752.316940
0.660335 0.645588 119.045989 12780.465241
0.680345 0.648436 121.222198 12814.598901
0.700355 0.649986 122.149032 12849.080645
0.720365 0.646498 118.047609 12881.940217
0.740375 0.652049 114.203027 12921.345946
0.760385 0.649860 111.165591 12954.198925
0.780396 0.650583 105.835054 12995.494624
0.800406 0.653503 112.973978 13030.258065
0.820416 0.649679 125.070217 13071.657609
0.840426 0.653940 115.761758 13108.346154
0.860436 0.653432 106.588757 13145.956757
0.880446 0.650926 109.949733 13187.684492
0.900456 0.656025 111.695604 13221.450549
0.920467 0.651865 119.375470 13263.143646
0.940477 0.655133 112.246409 13299.613260
0.960487 0.655543 105.466087 13331.673913
0.980497 0.652567 117.480000 13370.259459
1.000507 0.658085 118.422541 13416.486188
1.020517 0.656218 126.235191 13454.633880
1.040528 0.655863 120.869290 13494.939891
1.060538 0.660291 110.576222 13532.261111
1.080548 0.655045 116.360874 13569.868852
1.100558 0.660578 108.424262 13611.311475
1.120568 0.659588 109.421333 13650.933333
1.140578 0.657918 114.043716 13692.174863
1.160588 0.662160 119.370929 13736.934426
1.180599 0.658476 128.061189 13782.308108
1.200609 0.660672 134.400659 13828.362637
1.220619 0.662232 127.004889 13876.750000
1.240629 0.658954 118.959330 13925.173184
1.260639 0.663999 121.490273 13976.355191
1.280649 0.661550 124.759553 14029.513966
1.300659 0.661216 123.693333 14082.200000
1.320670 0.665082 112.644757 14138.913514
1.340680 0.660554 110.679774 14196.067797
1.360690 0.664436 115.217753 14255.224719
1.380700 0.664107 118.158930 14318.812834
1.400710 0.661793 121.771271 14384.220994
1.420720 0.666434 116.318889 14452.494444
1.440730 0.661256 105.385435 14523.086957
1.460741 0.663704 111.501124 14596.398876
1.480751 0.664709 115.112360 14672.803371
1.500761 0.659870 112.726222 14750.333333
1.520771 0.665278 107.883696 14835.092391
1.540781 0.663245 108.815165 14921.263736
1.560791 0.662178 109.975506 15008.876404
1.580801 0.666900 124.934667 15101.944444
1.600812 0.661111 134.139565 15192.461957
1.620822 0.666222 118.345635 15290.624309
1.640832 0.665323 111.734972 15387.564246
1.660842 0.662817 115.783687 15482.586592
1.680852 0.668855 116.210000 15586.586957
1.700862 0.663370 115.679551 15684.741573
1.720872 0.666017 113.892459 15787.191257
1.740883 0.667713 119.234190 15891.720670
1.760893 0.663513 120.043575 15994.100559
1.780903 0.669323 119.196872 16103.972067
1.800913 0.666304 116.996344 16212.209677
1.820923 0.665095 106.715333 16323.477778
1.840933 0.669508 114.757095 510.871508
1.860943 0.663688 119.431364 160.176136
1.880954 0.669433 122.073073 275.318436
1.900964 0.668254 118.265169 386.640449
1.920974 0.665290 116.635459 496.967568
1.940984 0.671789 120.564068 610.327684
1.960994 0.666060 122.203497 715.994536
1.981004 0.668524 123.721850 820.670520
2.001014 0.670157 120.190435 925.005435
2.021025 0.665191 123.523536 1022.712707
2.041035 0.671006 128.204114 1122.234286
2.061045 0.668114 118.420000 1215.065217
2.081055 0.667127 115.678202 1304.735955
2.101065 0.670180 116.670820 1394.431694
2.121075 0.665337 111.873898 1475.593220
2.141085 0.669920 121.912444 1558.850000
2.161096 0.669143 126.728989 1637.494382
2.181106 0.665360 121.855028 1711.458564
2.201116 0.671330 113.206339 1789.595628
2.221126 0.665483 106.810682 1859.931818
2.241136 0.668369 120.494505 1930.093407
2.261146 0.670012 124.092203 2001.096045
2.281156 0.665018 115.842712 2064.779661
2.301167 0.670434 110.716484 2132.697802
2.321177 0.666869 110.855249 2197.679558
2.341187 0.666911 118.246222 2259.622222
2.361197 0.670871 120.460328 2325.316940
2.381207 0.663102 115.500000 2383.505882
2.401217 0.666929 115.712289 2445.198795
2.421227 0.666232 119.631358 2505.253086
2.441238 0.662634 120.085030 2560.544910
2.461248 0.668592 110.864524 2620.839286
2.481258 0.662885 117.882454 2674.674847
2.501268 0.665392 118.481916 2727.485030
2.521278 0.666902 124.646429 2783.053571
2.541288 0.662488 120.760755 2831.666667
2.561298 0.667504 105.199762 2883.732143
2.581309 0.664259 103.349157 2934.879518
2.601319 0.663801 112.483394 2981.921212
2.621329 0.667875 127.400482 3033.204819
2.641339 0.661363 120.817939 3078.612121
2.661349 0.666704 116.202169 3126.445783
2.681359 0.666407 119.847229 3174.457831
2.701369 0.662755 109.747879 3217.587879
2.721380 0.668001 106.880494 3265.382716
2.741390 0.662845 104.726585 3310.286585
2.761400 0.666312 114.692071 3355.343195
2.781410 0.666507 119.848193 3402.698795
2.801420 0.662318 117.054788 3446.272727
2.821430 0.667741 110.788221 3490.840491
2.841440 0.664733 118.210488 3534.121951
2.861451 0.663948 123.074731 3576.467066
2.881461 0.667752 124.188712 3619.269939
2.901471 0.662746 126.927953 3658.052632
2.921481 0.666920 112.890061 3698.331288
2.941491 0.667403 110.006061 3733.006061
2.961501 0.663591 120.482156 3768.281437
2.981511 0.668842 116.511138 3799.808383
3.001522 0.665378 115.280248 3833.043478
3.021532 0.667722 121.137246 3859.149701
3.041542 0.669358 116.397605 3891.994012
3.061552 0.665296 119.911358 3914.648148
3.081562 0.670264 116.656242 3944.921212
3.101572 0.667899 111.385455 3971.630303
3.121583 0.667948 114.755776 3996.770186
3.141593 0.670734 129.786905 4029.363095
3.161603 0.666502 118.906265 4055.897590
3.181613 0.670403 114.042013 4090.723270
3.201623 0.667384 121.372273 4120.517045
3.221633 0.661534 116.891957 4155.706522
3.241643 0.665914 115.072000 4187.272222
3.261654 0.661215 120.331333 4222.505556
3.281664 0.664306 115.480667 4254.533333
3.301674 0.665782 109.235754 4290.430168
3.321684 0.662289 111.556066 4324.158470
3.341694 0.667551 113.889438 4360.876404
3.361704 0.664452 104.951913 4398.393443
3.381714 0.663988 110.801333 4434.727778
3.401725 0.666984 113.592308 4475.252747
3.421735 0.662906 112.272849 4511.486034
3.441745 0.666782 114.894525 4552.335196
3.461755 0.667058 112.939333 4592.094444
3.481765 0.663026 115.474725 4629.939560
3.501775 0.667113 107.995847 4670.475410
3.521785 0.663476 107.750820 4705.284153
3.541796 0.665222 122.426821 4742.317919
3.561806 0.666714 121.382460 4774.582888
3.581816 0.663279 112.733483 4807.264045
3.601826 0.666948 118.147907 4839.941860
3.621836 0.664686 117.354497 4866.730159
3.641846 0.664595 120.854091 4898.670455
3.661856 0.666770 117.288840 4924.259669
3.681867 0.663344 117.022983 4951.580110
3.701877 0.665698 117.048000 4982.513514
3.721887 0.666444 110.190889 5007.905556
3.741897 0.663494 103.623218 5040.201149
3.761907 0.666355 106.070486 5067.870270
3.781917 0.663453 118.303182 5100.431818
3.801927 0.664834 116.334586 5134.558011
3.821938 0.666550 100.589130 5165.418478
3.841948 0.663247 112.157556 5199.388889
3.861958 0.665610 117.935196 5234.005587
3.881968 0.664404 111.682418 5265.362637
3.901978 0.664479 119.057778 5303.011111
3.921988 0.666004 123.701858 5336.404372
3.941998 0.661818 122.814889 5371.566667
3.962009 0.664255 118.633520 5410.938547
3.982019 0.665871 122.196889 5441.811111
4.002029 0.662866 116.121547 5482.171271
4.022039 0.664947 114.174365 5518.176796
4.042049 0.662827 115.298785 5554.723757
4.062059 0.662739 119.823464 5596.988827
4.082069 0.663930 111.800879 5631.659341
4.102080 0.660860 109.486522 5674.092391
4.122090 0.663143 110.697778 5715.894444
4.142100 0.661550 110.265355 5752.371585
4.162110 0.661013 108.953591 5796.955801
4.182120 0.661569 117.876721 5836.715847
4.202130 0.659054 122.937946 5879.967568
4.222140 0.660603 111.201341 5924.491620
4.242151 0.659978 110.777968 5965.529412
4.262161 0.658307 116.218652 6013.359551
4.282171 0.658955 123.589783 6056.663043
4.302181 0.656668 124.463913 6104.201087
4.322191 0.658157 115.587727 6152.613636
4.342201 0.657667 111.794917 6194.359116
4.362211 0.655387 117.293404 6246.686170
4.382222 0.655903 120.105856 6298.872928
4.402232 0.654437 118.822766 6350.265957
4.422242 0.653738 112.639330 6410.368715
4.442252 0.653937 116.472216 6462.140541
4.462262 0.651540 116.654208 6523.836066
4.482272 0.651524 118.680000 6588.524862
4.502282 0.652383 112.496596 6647.861702
4.522293 0.650428 117.428478 6717.842391
4.542303 0.649896 119.404176 6787.214286
4.562313 0.648069 125.487407 6858.936508
4.582323 0.648141 122.709348 6935.038043
4.602333 0.648105 116.889263 7008.263158
4.622343 0.646189 123.899672 7090.497268
4.642353 0.645968 121.237348 7171.232044
4.662364 0.644523 114.003158 7247.647368
4.682374 0.644730 105.635243 7334.572973
4.702384 0.643283 106.150000 7418.526596
4.722394 0.641849 110.120214 7509.016043
4.742404 0.641410 110.866739 7599.875000
4.762414 0.641201 105.923011 7687.650538
4.782424 0.639432 108.032632 7786.626316
4.802435 0.637972 113.212967 7883.730769
4.822445 0.636430 111.820725 7979.901554
4.842455 0.637220 107.333039 8079.845304
4.862465 0.635655 107.960406 8181.771574
4.882475 0.633585 118.494468 8288.180851
4.902485 0.632766 116.465625 8395.312500
4.922495 0.631239 119.553118 8499.790323
4.942506 0.631130 113.443770 8604.544503
4.962516 0.629696 107.925445 8713.104712
4.982526 0.629320 119.960211 8817.115789
5.002536 0.627575 117.931518 8920.931937
5.022546 0.626822 108.818429 9023.099476
5.042556 0.626258 102.595648 9124.373057
5.062567 0.624827 105.957732 9226.634021
5.082577 0.623524 104.265979 9324.412371
5.102587 0.624467 117.809684 9420.836842
5.122597 0.623084 120.049485 9515.360825
5.142607 0.621348 116.525567 9606.881443
5.162617 0.620381 118.183333 9696.479167
5.182627 0.619222 126.617917 9782.218750
5.202638 0.620161 125.018163 9865.387755
5.222648 0.617309 119.490890 9946.774869
5.242658 0.617291 120.999602 10024.442786
5.262668 0.616513 126.267158 10099.852632
5.282678 0.615340 109.925979 10172.103093
5.302688 0.615717 110.029072 10241.123711
5.322698 0.613954 107.312727 10310.934343
5.342709 0.613389 114.427400 10377.785000
5.362719 0.613120 113.199592 10442.341837
5.382729 0.613038 103.201846 10505.594872
5.402739 0.612673 101.846839 10564.575130
5.422749 0.612210 109.408821 10624.517949
5.442759 0.611885 115.421400 10682.450000
5.462769 0.612889 109.725445 10737.308901
5.482780 0.611982 103.719385 10792.010256
5.502790 0.612653 105.689949 10843.020305
5.522800 0.611959 99.428800 10895.215000
5.542810 0.611737 111.505787 10945.446701
5.562820 0.613082 118.890101 10992.656566
5.582830 0.611876 115.792577 11039.381443
5.602840 0.610972 109.605306 11082.790816
5.622851 0.612770 114.848643 11126.185930
5.642861 0.612472 113.229796 11167.178571
5.662871 0.612963 118.300632 11202.500000
5.682881 0.613060 114.068513 11240.835897
5.702891 0.612459 106.372462 11276.381910
5.722901 0.613170 102.754462 11312.010256
5.742911 0.614157 105.256082 11347.737113
5.762922 0.613710 113.778492 11380.010050
5.782932 0.615774 116.082872 11413.661538
5.802942 0.614607 113.153846 11442.979487
5.822952 0.616407 119.512539 11467.336788
5.842962 0.616153 118.581320 11496.969543
5.862972 0.614844 113.842328 11523.179894
5.882982 0.617549 108.990816 11556.158163
5.902993 0.616832 110.835417 11588.364583
5.923003 0.617871 112.322234 11615.522843
5.943013 0.618730 113.381616 11641.803030
5.963023 0.617460 109.960204 11666.872449
5.983033 0.620443 112.145027 11692.839572
6.003043 0.619700 108.048367 11716.270408
6.023053 0.619807 105.418872 11737.441026
6.043064 0.621568 104.462292 11758.750000
6.063074 0.620034 120.213474 11781.731579
6.083084 0.622533 122.433026 11803.343590
6.103094 0.621384 111.852642 11828.388601
6.123104 0.621446 107.363781 11847.373134
6.143114 0.623526 114.705285 11871.575130
6.163124 0.622608 113.375269 11896.569892
6.183135 0.623295 103.962513 11924.528796
6.203145 0.624757 113.835306 11948.918367
6.223155 0.622646 125.134508 11976.839378
6.243165 0.625751 124.808723 12004.888298
6.263175 0.625687 117.465231 12035.379487
