serial number: RI70_21209062
torque: 8
start_temp: 24 (25)
finish_temp: 25 (26)
note: montaz na obrotach
0.000000 0.906526 24.625745 14623.797872
0.020010 0.907708 24.662151 14687.295699
0.040020 0.904765 24.673548 14751.263441
0.060030 0.906504 24.653333 14818.338624
0.080041 0.906571 24.649215 14888.685864
0.100051 0.905291 24.674783 14958.945652
0.120061 0.906569 24.675602 15032.947644
0.140071 0.904496 24.669362 15108.680851
0.160081 0.905838 24.667312 15186.021505
0.180091 0.906952 24.670316 15266.615789
0.200101 0.904068 24.676324 15346.621622
0.220112 0.906448 24.666738 15428.181818
0.240122 0.905460 24.665495 15510.604396
0.260132 0.905890 24.665759 15594.319372
0.280142 0.906744 24.667253 15678.434066
0.300152 0.904510 24.639188 15764.842640
0.320162 0.907006 24.665806 15852.483871
0.340172 0.906178 24.643191 15938.994681
0.360183 0.905644 24.658182 16027.331551
0.380193 0.907206 24.660952 16117.105820
0.400203 0.905053 24.663111 16205.294444
0.420213 0.906600 24.672577 16296.994845
0.440223 0.907504 24.689362 6717.409574
0.460233 0.905554 24.688842 101.310526
0.480243 0.907134 24.703111 195.788889
0.500254 0.906339 24.688168 290.261780
0.520264 0.907323 24.680000 386.417112
0.540274 0.907634 24.681702 481.191489
0.560284 0.905634 24.673369 574.983957
0.580294 0.908059 24.671613 667.827957
0.600304 0.907648 24.657684 759.036842
0.620314 0.907290 24.656257 849.347594
0.640325 0.907976 24.677849 937.569892
0.660335 0.906327 24.690159 1024.116402
0.680345 0.907830 24.678925 1109.763441
0.700355 0.908216 24.690309 1192.659794
0.720365 0.906228 24.686927 1272.893855
0.740375 0.908468 24.670259 1351.668394
0.760385 0.905724 24.660659 1427.829670
0.780396 0.907619 24.676891 1504.352332
0.800406 0.908271 24.669508 1578.704918
0.820416 0.905568 24.683958 1652.427083
0.840426 0.907776 24.669189 1725.864865
0.860436 0.906347 24.645435 1795.130435
0.880446 0.906121 24.643191 1865.382979
0.900456 0.907082 24.662151 1933.973118
0.920467 0.904819 24.689592 2003.250000
0.940477 0.906917 24.714098 2071.743169
0.960487 0.906419 24.695707 2137.963351
0.980497 0.904922 24.685376 2204.317204
1.000507 0.905831 24.685561 2269.165775
1.020517 0.903590 24.667447 2332.930851
1.040528 0.905264 24.693684 2396.410526
1.060538 0.905221 24.686957 2456.994565
1.080548 0.902364 24.688866 2517.948454
1.100558 0.904054 24.682737 2578.947368
1.120568 0.903040 24.686593 2634.961538
1.140578 0.902906 24.672332 2692.025907
1.160588 0.902497 24.661935 2747.790323
1.180599 0.901912 24.691613 2802.016129
1.200609 0.902187 24.654681 2857.053191
1.220619 0.902741 24.684862 2908.834254
1.240629 0.900313 24.642083 2960.734375
1.260639 0.901300 24.640211 3012.742105
1.280649 0.899033 24.683810 3063.201058
1.300659 0.900614 24.694660 3114.397906
1.320670 0.900214 24.697391 3163.434783
1.340680 0.897883 24.683711 3213.381443
1.360690 0.899322 24.657268 3262.923497
1.380700 0.897591 24.675026 3311.098446
1.400710 0.898524 24.676383 3360.031915
1.420720 0.897727 24.681466 3407.376963
1.440730 0.895621 24.673542 3455.468750
1.460741 0.897540 24.649101 3500.751323
1.480751 0.896511 24.657292 3544.145833
1.500761 0.896042 24.675000 3588.152174
1.520771 0.896683 24.681443 3627.994845
1.540781 0.894483 24.675435 3665.657609
1.560791 0.896343 24.671295 3703.409326
1.580801 0.895771 24.671111 3734.735450
1.600812 0.893746 24.676667 3770.458333
1.620822 0.895766 24.648677 3797.645503
1.640832 0.893261 24.666455 3829.116402
1.660842 0.894208 24.677684 3855.357895
1.680852 0.894031 24.688205 3884.066667
1.700862 0.891762 24.656335 3912.408377
1.720872 0.893946 24.648842 3938.657895
1.740883 0.892288 24.687835 3970.350515
1.760893 0.891916 24.687527 3997.172043
1.780903 0.893159 24.676809 4031.457447
1.800913 0.889774 24.668482 4060.403141
1.820923 0.892973 24.682887 4096.747423
1.840933 0.891455 24.697409 4127.424870
1.860943 0.890257 24.693904 4164.299465
1.880954 0.891993 24.717696 4195.214660
1.900964 0.889538 24.707090 4230.592593
1.920974 0.890961 24.709375 4263.328125
1.940984 0.891175 24.705969 4298.958115
1.960994 0.888517 24.667225 4335.696335
1.981004 0.891458 24.682640 4371.746193
2.001014 0.889623 24.691676 4410.805405
2.021025 0.890263 24.689263 4446.463158
2.041035 0.890983 24.677684 4486.352632
2.061045 0.889097 24.659275 4524.979275
2.081055 0.891953 24.667708 4562.026042
2.101065 0.892094 24.680209 4600.303665
2.121075 0.890235 24.666596 4633.845745
2.141085 0.893135 24.680625 4671.718750
2.161096 0.890453 24.691217 4701.497354
2.181106 0.893561 24.687668 4736.404145
2.201116 0.893430 24.715440 4761.720207
2.221126 0.891257 24.660317 4795.624339
2.241136 0.895320 24.703368 4819.194737
2.261146 0.892494 24.694869 4848.910995
2.281156 0.895244 24.717419 4874.983871
2.301167 0.894660 24.682062 4902.134021
2.321177 0.893324 24.701304 4931.864130
2.341187 0.897566 24.701053 4958.310526
2.361197 0.896294 24.697419 4990.521505
2.381207 0.895957 24.710200 5019.810000
2.401217 0.898407 24.679792 5055.109375
2.421227 0.895619 24.669247 5086.333333
2.441238 0.899917 24.680000 5121.232804
2.461248 0.899629 24.703351 5152.913514
2.481258 0.897966 24.697347 5189.178571
2.501268 0.901626 24.696484 5224.478022
2.521278 0.900123 24.704041 5258.528497
2.541288 0.901771 24.695699 5295.731183
2.561298 0.903192 24.703607 5329.426230
2.581309 0.900670 24.688333 5367.083333
2.601319 0.905619 24.717021 5404.712766
2.621329 0.904351 24.699796 5441.637755
2.641339 0.904684 24.689778 5481.555556
2.661349 0.907520 24.690928 5518.876289
2.681359 0.904132 24.659227 5558.160221
2.701369 0.908430 24.701762 5598.663212
2.721380 0.907997 24.686557 5637.606557
2.741390 0.906155 24.692896 5678.972678
2.761400 0.911417 24.679375 5720.281250
2.781410 0.908251 24.690695 5761.812834
2.801420 0.911977 24.730426 5805.702128
2.821430 0.911552 24.696989 5848.370968
2.841440 0.910368 24.692088 5893.401099
2.861451 0.914657 24.682723 5938.654450
2.881461 0.914351 24.687391 5984.869565
2.901471 0.913761 24.638280 6033.548387
2.921481 0.917323 24.666452 6081.784946
2.941491 0.914481 24.642139 6132.668449
2.961501 0.919336 24.667158 6186.142105
2.981511 0.919009 24.672045 6237.704545
3.001522 0.917552 24.692620 6294.342246
3.021532 0.922780 24.750486 6352.427027
3.041542 0.920062 24.708172 6411.876344
3.061552 0.922401 24.657419 6474.731183
3.081562 0.924297 24.684590 6537.732240
3.101572 0.922236 24.688306 6605.021858
3.121583 0.926616 24.685561 6674.155080
3.141593 0.925988 24.688914 6744.880000
3.161603 0.925302 24.672299 6818.909091
3.181613 0.929418 24.702667 6893.533333
3.201623 0.925903 24.697326 6971.839572
3.221633 0.930252 24.697849 7052.172043
3.241643 0.931006 24.704407 7131.875706
3.261654 0.928946 24.689514 7215.027027
3.281664 0.933311 24.700444 7299.288889
3.301674 0.931326 24.699892 7386.827027
3.321684 0.933915 24.688136 7475.000000
3.341694 0.934855 24.678261 7563.380435
3.361704 0.933063 24.673913 7655.733696
3.381714 0.937559 24.695333 7747.916667
3.401725 0.936592 24.702198 7843.538462
3.421735 0.936328 24.671333 7940.761111
3.441745 0.940020 24.667760 8037.289617
3.461755 0.937118 24.679333 8138.705556
3.481765 0.941421 24.692747 8238.637363
3.501775 0.941378 24.691934 8339.342541
3.521785 0.939410 24.674743 8443.068571
3.541796 0.945342 24.659140 8544.118280
3.561806 0.942225 24.640225 8647.612360
3.581816 0.944820 24.661522 8748.646739
3.601826 0.946181 24.669767 8845.924419
3.621836 0.943791 24.666522 8945.456522
3.641846 0.949455 24.681348 9042.297753
3.661856 0.948086 24.687556 9138.716667
3.681867 0.947216 24.691551 9233.465241
3.701877 0.952032 24.711163 9324.860465
3.721887 0.948255 24.685556 9414.533333
3.741897 0.952339 24.678222 9502.000000
3.761907 0.953353 24.669318 9587.727273
3.781917 0.951003 24.653636 9670.170455
3.801927 0.955832 24.661899 9749.195531
3.821938 0.953741 24.640889 9828.250000
3.841948 0.955635 24.654400 9902.668571
3.861958 0.957243 24.624176 9975.719780
3.881968 0.955066 24.626057 10046.794286
3.901978 0.959316 24.654011 10113.723164
3.921988 0.959076 24.643409 10180.801136
3.941998 0.957657 24.660109 10245.704918
3.962009 0.961730 24.688000 10308.082353
3.982019 0.958093 24.692967 10369.785714
4.002029 0.961555 24.669379 10429.960452
4.022039 0.962341 24.667746 10488.156069
4.042049 0.960110 24.694157 10544.421348
4.062059 0.964051 24.685140 10599.536313
4.082069 0.961422 24.672414 10654.431034
4.102080 0.963881 24.669171 10707.359116
4.122090 0.965627 24.679314 10759.274286
4.142100 0.962299 24.686517 10809.078652
4.162110 0.966692 24.680235 10856.758824
4.182120 0.965085 24.645934 10905.032967
4.202130 0.964822 24.651628 10949.767442
4.222140 0.969146 24.676384 10993.197740
4.242151 0.963740 24.675657 11035.451429
4.262161 0.967990 24.678876 11075.556180
4.282171 0.968062 24.649438 11115.438202
4.302181 0.966011 24.635886 11153.262857
4.322191 0.969722 24.642118 11190.388235
4.342201 0.966712 24.628701 11225.271186
4.362211 0.968795 24.650787 11262.848315
4.382222 0.969789 24.638150 11296.352601
4.402232 0.966463 24.661029 11332.617143
4.422242 0.969860 24.646897 11364.362069
4.442252 0.969075 24.671784 11399.572973
4.462262 0.967954 24.680947 11431.686391
4.482272 0.969408 24.679337 11463.265193
4.502282 0.967243 24.709176 11494.794118
4.522293 0.969141 24.664944 11524.505618
4.542303 0.969745 24.644114 11553.645714
4.562313 0.966595 24.647771 11582.451429
4.582323 0.969815 24.666897 11609.097701
4.602333 0.966871 24.679771 11636.885714
4.622343 0.967972 24.688136 11661.502825
4.642353 0.969417 24.680920 11688.620690
4.662364 0.965337 24.697627 11712.316384
4.682374 0.967521 24.708636 11737.937500
4.702384 0.966893 24.699080 11763.356322
4.722394 0.964896 24.667709 11786.698324
4.742404 0.966972 24.621628 11814.622093
4.762414 0.963738 24.636906 11839.491713
4.782424 0.964894 24.645140 11868.268156
4.802435 0.965285 24.685780 11896.919075
4.822445 0.961532 24.678391 11925.408046
4.842455 0.963889 24.658057 11956.222857
4.862465 0.959967 24.626024 11986.048193
4.882475 0.960686 24.652164 12018.824561
4.902485 0.960950 24.647654 12048.672840
4.922495 0.956527 24.641156 12082.075145
4.942506 0.959456 24.600000 12110.806061
4.962516 0.957042 24.601667 12144.130952
4.982526 0.955443 24.651566 12170.590361
5.002536 0.956955 24.680482 12202.650602
5.022546 0.952626 24.701988 12227.198830
5.042556 0.954271 24.706905 12257.880952
5.062567 0.954217 24.692121 12282.424242
5.082577 0.949676 24.662588 12307.376471
5.102587 0.952493 24.652195 12335.060976
5.122597 0.947908 24.641850 12354.924855
5.142607 0.949213 24.655758 12382.484848
5.162617 0.949603 24.640706 12405.570588
5.182627 0.944653 24.659277 12425.234940
5.202638 0.947079 24.665143 12453.262857
