serial number: JANUSZ_3_RI70_21414871
torque: 12
start_temp: 27 (27)
finish_temp: 27 (28)
note: ma interpolacje
0.000000 0.221196 27.000000 0.000000
0.020010 0.222515 27.000000 0.000000
0.040020 0.220621 27.000000 0.000000
0.060030 0.221790 27.000000 0.000000
0.080041 0.221166 27.000000 0.000000
0.100051 0.220733 27.000000 0.000000
0.120061 0.222136 27.000000 0.000000
0.140071 0.219810 27.000000 0.000000
0.160081 0.220130 27.000000 0.000000
0.180091 0.221945 27.000000 0.000000
0.200101 0.220107 27.000000 0.000000
0.220112 0.222358 27.000000 0.000000
0.240122 0.219137 27.000000 0.000000
0.260132 0.221061 27.000000 0.000000
0.280142 0.222500 27.000000 0.000000
0.300152 0.220422 27.000000 0.000000
0.320162 0.221429 27.000000 0.000000
0.340172 0.220366 27.000000 0.000000
0.360183 0.221121 27.000000 0.000000
0.380193 0.223057 27.000000 0.000000
0.400203 0.220125 27.000000 0.000000
0.420213 0.220099 27.000000 0.000000
0.440223 0.222010 27.000000 0.000000
0.460233 0.221808 27.000000 0.000000
0.480243 0.221949 27.000000 0.000000
0.500254 0.219473 27.000000 0.000000
0.520264 0.219718 27.000000 0.000000
0.540274 0.222761 27.000000 0.000000
0.560284 0.220697 27.000000 0.000000
0.580294 0.219159 27.000000 0.000000
0.600304 0.218192 27.000000 0.000000
0.620314 0.219141 27.000000 0.000000
0.640325 0.220516 27.000000 0.000000
0.660335 0.216727 27.000000 0.000000
0.680345 0.217171 27.000000 0.000000
0.700355 0.218884 27.000000 0.000000
0.720365 0.219204 27.000000 0.000000
0.740375 0.220010 27.000000 0.000000
0.760385 0.217637 27.000000 0.000000
0.780396 0.217550 27.000000 0.000000
0.800406 0.220429 27.000000 0.000000
0.820416 0.217497 27.000000 0.000000
0.840426 0.217502 27.000000 0.000000
0.860436 0.216327 27.000000 0.000000
0.880446 0.217399 27.000000 0.000000
0.900456 0.219863 27.000000 0.000000
0.920467 0.215271 27.000000 0.000000
0.940477 0.215759 27.000000 0.000000
0.960487 0.216904 27.000000 0.000000
0.980497 0.218070 27.000000 0.000000
1.000507 0.218586 27.000000 0.000000
1.020517 0.215153 27.000000 0.000000
1.040528 0.214340 27.000000 0.000000
1.060538 0.219391 27.000000 0.000000
