serial number: JANUSZ_3_RI70_21414871
torque: 12
start_temp: 27 (27)
finish_temp: 27 (28)
note: ma interpolacje
0.000000 0.217320 27.000000 0.000000
0.020010 0.217300 27.000000 0.000000
0.040020 0.215164 -85.887742 0.000000
0.060030 0.213752 27.000000 0.000000
0.080041 0.220289 27.000000 0.000000
0.100051 0.212666 27.000000 0.000000
0.120061 0.218936 27.000000 0.000000
0.140071 0.217296 27.000000 0.000000
0.160081 0.212060 27.000000 0.000000
0.180091 0.219188 27.000000 0.000000
0.200101 0.210469 27.000000 0.000000
0.220112 0.212191 -83.511158 0.000000
0.240122 0.221290 27.000000 0.000000
0.260132 0.211518 27.000000 0.000000
0.280142 0.219157 -147.976000 0.000000
0.300152 0.218021 -25.019892 0.000000
0.320162 0.212962 27.000000 0.000000
0.340172 0.223491 27.000000 0.000000
0.360183 0.216336 27.000000 0.000000
0.380193 0.212866 27.000000 0.000000
0.400203 0.219723 27.000000 0.000000
0.420213 0.212517 27.000000 0.000000
0.440223 0.215247 27.000000 0.000000
0.460233 0.214351 -194.071828 0.000000
0.480243 0.214055 27.000000 0.000000
0.500254 0.217955 27.000000 0.000000
0.520264 0.212366 -85.284064 0.000000
0.540274 0.215662 27.000000 0.000000
0.560284 0.209954 27.000000 0.000000
0.580294 0.213513 27.000000 0.000000
0.600304 0.216502 27.000000 0.000000
0.620314 0.209075 -137.040000 0.000000
0.640325 0.216879 -25.877363 0.000000
0.660335 0.218453 27.000000 0.000000
0.680345 0.211093 27.000000 0.000000
0.700355 0.220956 27.000000 0.000000
0.720365 0.211196 27.000000 0.000000
0.740375 0.211633 27.000000 0.000000
0.760385 0.219831 27.000000 0.000000
0.780396 0.209114 27.000000 0.000000
0.800406 0.213627 -71.248556 0.000000
0.820416 0.213398 13.113016 0.000000
0.840426 0.211057 27.000000 0.000000
0.860436 0.219747 27.000000 0.000000
0.880446 0.212121 27.000000 0.000000
0.900456 0.212507 27.000000 0.000000
0.920467 0.217164 27.000000 0.000000
0.940477 0.214937 27.000000 0.000000
0.960487 0.217698 27.000000 0.000000
0.980497 0.212411 -191.720000 0.000000
1.000507 0.215258 27.000000 0.000000
1.020517 0.217339 27.000000 0.000000
1.040528 0.213677 27.000000 0.000000
1.060538 0.218041 27.000000 0.000000
1.080548 0.213969 27.000000 0.000000
1.100558 0.217243 27.000000 0.000000
1.120568 0.221700 27.000000 0.000000
1.140578 0.208266 27.000000 0.000000
1.160588 0.217910 27.000000 0.000000
1.180599 0.218847 27.000000 0.000000
1.200609 0.213261 27.000000 0.000000
1.220619 0.221572 -314.054915 0.000000
1.240629 0.215313 27.000000 0.000000
1.260639 0.217257 27.000000 0.000000
1.280649 0.224852 27.000000 0.000000
1.300659 0.214056 27.000000 0.000000
1.320670 0.218214 27.000000 0.000000
1.340680 0.221713 -92.983543 0.000000
1.360690 0.218998 27.000000 0.000000
1.380700 0.221587 -31.003094 0.000000
1.400710 0.217114 -137.627957 0.000000
1.420720 0.219330 27.000000 0.000000
1.440730 0.219421 27.000000 0.000000
1.460741 0.218409 -86.497946 0.000000
1.480751 0.219870 27.000000 0.000000
1.500761 0.213859 27.000000 0.000000
1.520771 0.222254 27.000000 0.000000
1.540781 0.221625 27.000000 0.000000
1.560791 0.213119 27.000000 0.000000
1.580801 0.218964 -89.650667 0.000000
1.600812 0.216424 27.000000 0.000000
1.620822 0.217576 27.000000 0.000000
1.640832 0.226743 -204.007640 0.000000
1.660842 0.212437 27.000000 0.000000
1.680852 0.219959 27.000000 0.000000
1.700862 0.223965 27.000000 0.000000
1.720872 0.214545 27.000000 0.000000
1.740883 0.221004 27.000000 0.000000
1.760893 0.217171 27.000000 0.000000
1.780903 0.218563 27.000000 0.000000
1.800913 0.219168 27.000000 0.000000
1.820923 0.217002 27.000000 0.000000
1.840933 0.218046 27.000000 0.000000
1.860943 0.214848 13.113016 0.000000
1.880954 0.215816 -72.850435 0.000000
1.900964 0.217262 27.000000 0.000000
1.920974 0.210460 27.000000 0.000000
1.940984 0.222707 27.000000 0.000000
1.960994 0.217756 27.000000 0.000000
1.981004 0.212151 27.000000 0.000000
2.001014 0.217789 27.000000 0.000000
2.021025 0.211735 27.000000 0.000000
2.041035 0.214225 -126.825055 0.000000
2.061045 0.220007 -156.442581 0.000000
2.081055 0.210172 27.000000 0.000000
2.101065 0.221087 27.000000 0.000000
2.121075 0.220154 27.000000 0.000000
2.141085 0.214171 27.000000 0.000000
2.161096 0.217434 27.000000 0.000000
2.181106 0.214066 27.000000 0.000000
2.201116 0.217818 27.000000 0.000000
2.221126 0.218031 27.000000 0.000000
2.241136 0.212773 27.000000 0.000000
2.261146 0.217270 27.000000 0.000000
2.281156 0.213443 -80.605561 0.000000
2.301167 0.216753 22.321497 0.000000
2.321177 0.215131 27.000000 0.000000
