serial number: JANUSZ_3_RI70_21414871
torque: 8
start_temp: 27 (28)
finish_temp: 27 (28)
note: ma interpolacje
0.000000 0.100996 27.000000 0.000000
0.020010 0.102680 27.000000 0.000000
0.040020 0.093806 27.000000 0.000000
0.060030 0.098158 27.000000 0.000000
0.080041 0.096035 27.000000 0.000000
0.100051 0.098466 27.000000 0.000000
0.120061 0.100421 27.000000 0.000000
0.140071 0.092046 27.000000 0.000000
0.160081 0.101408 -184.965155 0.000000
0.180091 0.101005 27.000000 0.000000
0.200101 0.093594 27.000000 0.000000
0.220112 0.099306 27.000000 0.000000
0.240122 0.096353 27.000000 0.000000
0.260132 0.100811 27.000000 0.000000
0.280142 0.101249 27.000000 0.000000
0.300152 0.091673 27.000000 0.000000
0.320162 0.100808 27.000000 0.000000
0.340172 0.099996 27.000000 0.000000
0.360183 0.096301 27.000000 0.000000
0.380193 0.100623 -89.060816 0.000000
0.400203 0.093990 -59.666604 0.000000
0.420213 0.097545 27.000000 0.000000
0.440223 0.100141 27.000000 0.000000
0.460233 0.094587 27.000000 0.000000
0.480243 0.100968 27.000000 0.000000
0.500254 0.097896 27.000000 0.000000
0.520264 0.096756 27.000000 0.000000
0.540274 0.100309 27.000000 0.000000
0.560284 0.094719 27.000000 0.000000
0.580294 0.101953 -81.798342 0.000000
0.600304 0.099311 27.000000 0.000000
0.620314 0.094486 27.000000 0.000000
0.640325 0.098494 26.736800 0.000000
0.660335 0.096778 -171.653333 0.000000
0.680345 0.097931 27.000000 0.000000
0.700355 0.097581 -177.583284 0.000000
0.720365 0.095175 27.000000 0.000000
0.740375 0.099642 27.000000 0.000000
0.760385 0.098409 27.000000 0.000000
0.780396 0.096061 27.000000 0.000000
0.800406 0.099078 27.000000 0.000000
0.820416 0.097215 -174.574706 0.000000
0.840426 0.097796 27.000000 0.000000
0.860436 0.097283 27.000000 0.000000
0.880446 0.094601 27.000000 0.000000
0.900456 0.096829 -73.952308 0.000000
0.920467 0.099102 27.000000 0.000000
0.940477 0.096904 27.000000 0.000000
0.960487 0.097356 27.000000 0.000000
0.980497 0.094508 27.000000 0.000000
1.000507 0.097321 27.000000 0.000000
1.020517 0.098494 27.000000 0.000000
1.040528 0.096453 27.000000 0.000000
1.060538 0.095537 27.000000 0.000000
1.080548 0.093861 27.000000 0.000000
1.100558 0.098557 27.000000 0.000000
1.120568 0.096044 27.000000 0.000000
1.140578 0.096323 27.000000 0.000000
1.160588 0.096613 27.000000 0.000000
1.180599 0.099465 27.000000 0.000000
1.200609 0.097499 27.000000 0.000000
1.220619 0.095716 27.000000 0.000000
1.240629 0.097368 -173.591415 0.000000
1.260639 0.099001 27.000000 0.000000
1.280649 0.096873 -74.932427 0.000000
1.300659 0.096368 27.000000 0.000000
1.320670 0.095273 27.000000 0.000000
1.340680 0.097274 27.000000 0.000000
1.360690 0.098838 27.000000 0.000000
1.380700 0.095648 27.000000 0.000000
1.400710 0.094613 27.000000 0.000000
1.420720 0.096841 27.000000 0.000000
1.440730 0.098218 -77.468060 0.000000
1.460741 0.099456 -181.737259 0.000000
1.480751 0.095713 27.000000 0.000000
1.500761 0.095975 27.000000 0.000000
1.520771 0.099916 27.000000 0.000000
1.540781 0.093775 27.000000 0.000000
1.560791 0.099818 27.000000 0.000000
1.580801 0.094278 27.000000 0.000000
1.600812 0.095167 27.000000 0.000000
1.620822 0.098320 27.000000 0.000000
1.640832 0.090311 27.000000 0.000000
1.660842 0.094799 27.000000 0.000000
1.680852 0.099824 27.000000 0.000000
1.700862 0.093943 27.000000 0.000000
1.720872 0.098781 27.000000 0.000000
1.740883 0.090348 27.000000 0.000000
1.760893 0.093925 27.000000 0.000000
1.780903 0.102792 27.000000 0.000000
1.800913 0.091305 27.000000 0.000000
1.820923 0.090423 27.000000 0.000000
1.840933 0.090527 27.000000 0.000000
1.860943 0.093176 -22.995429 0.000000
1.880954 0.103188 -135.356289 0.000000
1.900964 0.091338 27.000000 0.000000
1.920974 0.093309 27.000000 0.000000
1.940984 0.096516 27.000000 0.000000
1.960994 0.092220 27.000000 0.000000
1.981004 0.095202 27.000000 0.000000
2.001014 0.089513 27.000000 0.000000
2.021025 0.096957 27.000000 0.000000
2.041035 0.096876 27.000000 0.000000
2.061045 0.089972 27.000000 0.000000
2.081055 0.094142 27.000000 0.000000
2.101065 0.093355 27.000000 0.000000
2.121075 0.097060 27.000000 0.000000
2.141085 0.102211 27.000000 0.000000
2.161096 0.089615 27.000000 0.000000
2.181106 0.097817 27.000000 0.000000
2.201116 0.098805 27.000000 0.000000
2.221126 0.092018 27.000000 0.000000
2.241136 0.098072 27.000000 0.000000
2.261146 0.091683 27.000000 0.000000
2.281156 0.097853 27.000000 0.000000
2.301167 0.098002 27.000000 0.000000
2.321177 0.088333 27.000000 0.000000
2.341187 0.089594 27.000000 0.000000
2.361197 0.093811 27.000000 0.000000
2.381207 0.095903 27.000000 0.000000
2.401217 0.098475 27.000000 0.000000
2.421227 0.087940 27.000000 0.000000
2.441238 0.098785 -178.863529 0.000000
2.461248 0.095789 27.000000 0.000000
2.481258 0.091132 27.000000 0.000000
2.501268 0.095934 27.000000 0.000000
2.521278 0.088902 27.000000 0.000000
2.541288 0.091522 27.000000 0.000000
2.561298 0.093942 27.000000 0.000000
2.581309 0.090394 19.188214 0.000000
2.601319 0.099103 -168.370485 0.000000
2.621329 0.094190 27.000000 0.000000
2.641339 0.097855 27.000000 0.000000
2.661349 0.093395 27.000000 0.000000
2.681359 0.089090 27.000000 0.000000
2.701369 0.097967 27.000000 0.000000
2.721380 0.095554 27.000000 0.000000
2.741390 0.089378 27.000000 0.000000
2.761400 0.089707 27.000000 0.000000
2.781410 0.089715 27.000000 0.000000
2.801420 0.099156 27.000000 0.000000
2.821430 0.093589 27.000000 0.000000
2.841440 0.093364 27.000000 0.000000
2.861451 0.095477 27.000000 0.000000
2.881461 0.094212 27.000000 0.000000
2.901471 0.098891 27.000000 0.000000
2.921481 0.095740 27.000000 0.000000
2.941491 0.091365 27.000000 0.000000
2.961501 0.100432 27.000000 0.000000
2.981511 0.094688 27.000000 0.000000
3.001522 0.094395 27.000000 0.000000
3.021532 0.094167 27.000000 0.000000
3.041542 0.093259 27.000000 0.000000
3.061552 0.101475 27.000000 0.000000
3.081562 0.092533 27.000000 0.000000
3.101572 0.092227 27.000000 0.000000
3.121583 0.095482 27.000000 0.000000
3.141593 0.080064 27.000000 0.000000
3.161603 0.096092 27.000000 0.000000
3.181613 0.094091 27.000000 0.000000
3.201623 0.093254 27.000000 0.000000
3.221633 0.098266 27.000000 0.000000
3.241643 0.096865 27.000000 0.000000
3.261654 0.095635 27.000000 0.000000
3.281664 0.095557 27.000000 0.000000
3.301674 0.094531 27.000000 0.000000
3.321684 0.101675 27.000000 0.000000
3.341694 0.095285 27.000000 0.000000
3.361704 0.096254 27.000000 0.000000
3.381714 0.098178 27.000000 0.000000
3.401725 0.097026 27.000000 0.000000
3.421735 0.100519 27.000000 0.000000
3.441745 0.096013 27.000000 0.000000
3.461755 0.094193 27.000000 0.000000
3.481765 0.102117 27.000000 0.000000
3.501775 0.096263 27.000000 0.000000
3.521785 0.095575 27.000000 0.000000
3.541796 0.098035 27.000000 0.000000
3.561806 0.096578 27.000000 0.000000
3.581816 0.099713 -178.606200 0.000000
3.601826 0.098974 27.000000 0.000000
3.621836 0.094556 -168.815429 0.000000
3.641846 0.100635 27.000000 0.000000
3.661856 0.096658 27.000000 0.000000
3.681867 0.096990 27.000000 0.000000
3.701877 0.099708 27.000000 0.000000
3.721887 0.094994 27.000000 0.000000
3.741897 0.100208 27.000000 0.000000
3.761907 0.096696 27.000000 0.000000
3.781917 0.095020 -174.574706 0.000000
3.801927 0.102359 27.000000 0.000000
3.821938 0.096565 27.000000 0.000000
3.841948 0.094440 27.000000 0.000000
3.861958 0.099194 27.000000 0.000000
3.881968 0.093361 27.000000 0.000000
3.901978 0.101486 -298.232042 0.000000
3.921988 0.098545 27.000000 0.000000
3.941998 0.095754 27.000000 0.000000
3.962009 0.100300 -178.606200 0.000000
3.982019 0.096723 27.000000 0.000000
4.002029 0.100073 27.000000 0.000000
4.022039 0.101998 27.000000 0.000000
4.042049 0.095482 27.000000 0.000000
4.062059 0.104402 -41.710995 0.000000
4.082069 0.101447 -12.970964 0.000000
4.102080 0.096068 -126.644488 0.000000
4.122090 0.102340 -21.853401 0.000000
4.142100 0.097677 27.000000 0.000000
4.162110 0.100994 27.000000 0.000000
4.182120 0.100551 -80.133061 0.000000
4.202130 0.094653 27.000000 0.000000
4.222140 0.099722 27.000000 0.000000
4.242151 0.100202 27.000000 0.000000
4.262161 0.095019 -6.015849 0.000000
4.282171 0.102120 -148.885979 0.000000
4.302181 0.096776 27.000000 0.000000
4.322191 0.100264 27.000000 0.000000
4.342201 0.098021 27.000000 0.000000
4.362211 0.094699 27.000000 0.000000
4.382222 0.100919 27.000000 0.000000
4.402232 0.099373 27.000000 0.000000
4.422242 0.096867 27.000000 0.000000
4.442252 0.099715 -179.639397 0.000000
4.462262 0.095858 27.000000 0.000000
4.482272 0.100955 -181.737259 0.000000
4.502282 0.101290 27.000000 0.000000
4.522293 0.095059 27.000000 0.000000
4.542303 0.096112 27.000000 0.000000
4.562313 0.098763 -76.950891 0.000000
4.582323 0.098044 27.000000 0.000000
4.602333 0.100000 27.000000 0.000000
4.622343 0.096222 27.000000 0.000000
4.642353 0.097701 27.000000 0.000000
4.662364 0.101400 -180.683030 0.000000
4.682374 0.096154 27.000000 0.000000
4.702384 0.094538 -169.752344 0.000000
4.722394 0.096607 27.000000 0.000000
4.742404 0.095800 27.000000 0.000000
4.762414 0.098182 27.000000 0.000000
4.782424 0.095089 27.000000 0.000000
4.802435 0.095059 27.000000 0.000000
4.822445 0.098606 27.000000 0.000000
4.842455 0.096910 27.000000 0.000000
4.862465 0.094198 2.238113 0.000000
4.882475 0.093086 -46.591402 0.000000
4.902485 0.096277 14.380962 0.000000
4.922495 0.100753 -66.265584 0.000000
4.942506 0.095844 27.000000 0.000000
4.962516 0.093010 27.000000 0.000000
4.982526 0.097295 -270.386601 0.000000
5.002536 0.096234 27.000000 0.000000
5.022546 0.097133 27.000000 0.000000
5.042556 0.096275 27.000000 0.000000
5.062567 0.093435 27.000000 0.000000
5.082577 0.102465 -80.133061 0.000000
5.102587 0.096671 27.000000 0.000000
5.122597 0.091923 27.000000 0.000000
5.142607 0.095831 27.000000 0.000000
5.162617 0.097239 27.000000 0.000000
5.182627 0.099290 27.000000 0.000000
5.202638 0.095422 27.000000 0.000000
5.222648 0.090478 27.000000 0.000000
5.242658 0.098339 27.000000 0.000000
5.262668 0.095672 27.000000 0.000000
5.282678 0.095281 -32.173333 0.000000
5.302688 0.093929 -13.693953 0.000000
5.322698 0.091634 27.000000 0.000000
5.342709 0.100744 27.000000 0.000000
5.362719 0.096190 27.000000 0.000000
5.382729 0.091165 27.000000 0.000000
5.402739 0.093131 27.000000 0.000000
5.422749 0.095929 27.000000 0.000000
5.442759 0.098219 -176.570495 0.000000
5.462769 0.096469 27.000000 0.000000
5.482780 0.089917 27.000000 0.000000
5.502790 0.099378 27.000000 0.000000
5.522800 0.096895 27.000000 0.000000
5.542810 0.094846 27.000000 0.000000
5.562820 0.096677 27.000000 0.000000
5.582830 0.092374 27.000000 0.000000
5.602840 0.097978 27.000000 0.000000
5.622851 0.095858 27.000000 0.000000
5.642861 0.091226 -69.765346 0.000000
5.662871 0.094746 27.000000 0.000000
5.682881 0.096278 27.000000 0.000000
5.702891 0.097768 27.000000 0.000000
5.722901 0.096131 27.000000 0.000000
5.742911 0.090135 27.000000 0.000000
5.762922 0.099025 27.000000 0.000000
5.782932 0.097414 27.000000 0.000000
5.802942 0.094297 27.000000 0.000000
5.822952 0.096793 27.000000 0.000000
5.842962 0.094492 27.000000 0.000000
5.862972 0.099166 -178.606200 0.000000
5.882982 0.098202 27.000000 0.000000
5.902993 0.092214 27.000000 0.000000
5.923003 0.100369 -180.683030 0.000000
5.943013 0.097841 27.000000 0.000000
5.963023 0.096465 27.000000 0.000000
5.983033 0.099154 27.000000 0.000000
6.003043 0.092634 27.000000 0.000000
6.023053 0.101415 27.000000 0.000000
6.043064 0.099324 27.000000 0.000000
6.063074 0.095218 27.000000 0.000000
6.083084 0.096076 27.000000 0.000000
6.103094 0.097596 27.000000 0.000000
6.123104 0.098261 27.000000 0.000000
6.143114 0.098960 27.000000 0.000000
6.163124 0.091810 27.000000 0.000000
6.183135 0.098755 27.000000 0.000000
6.203145 0.099447 27.000000 0.000000
6.223155 0.095796 27.000000 0.000000
6.243165 0.096135 27.000000 0.000000
6.263175 0.094370 27.000000 0.000000
