serial number: JANUSZ_3_RI70_21414876
torque: 8
start_temp: 28 (28)
finish_temp: 23 (28)
note: ma interpolacje
0.000000 0.186941 23.012245 0.000000
0.020010 0.177229 23.007843 0.000000
0.040020 0.190013 23.005263 0.000000
0.060030 0.183616 23.014627 0.000000
0.080041 0.185267 23.016889 0.000000
0.100051 0.190213 23.012579 0.000000
0.120061 0.177134 23.000000 0.000000
0.140071 0.187634 23.005181 0.000000
0.160081 0.184795 23.000000 0.000000
0.180091 0.179123 23.011765 0.000000
0.200101 0.187650 23.004800 0.000000
0.220112 0.175105 23.014897 0.000000
0.240122 0.184683 23.015544 0.000000
0.260132 0.186249 23.006944 0.000000
0.280142 0.176108 23.021250 0.000000
0.300152 0.188512 23.019251 0.000000
0.320162 0.178989 23.005957 0.000000
0.340172 0.183843 23.025946 0.000000
0.360183 0.186213 23.014968 0.000000
0.380193 0.173823 23.000268 0.000000
0.400203 0.186368 23.000204 0.000000
0.420213 0.181848 23.014412 0.000000
0.440223 0.179244 23.005682 0.000000
0.460233 0.187990 23.005814 0.000000
0.480243 0.176642 23.008169 0.000000
0.500254 0.186951 23.024792 0.000000
0.520264 0.187755 23.007606 0.000000
0.540274 0.179634 23.000000 0.000000
0.560284 0.192553 23.015165 0.000000
0.580294 0.186205 23.009612 0.000000
0.600304 0.188675 23.010695 0.000000
0.620314 0.193620 23.009041 0.000000
0.640325 0.181558 23.017987 0.000000
0.660335 0.194338 23.005405 0.000000
0.680345 0.189892 23.015152 0.000000
0.700355 0.186738 23.012184 0.000000
0.720365 0.197101 23.011975 0.000000
0.740375 0.183415 23.007143 0.000000
0.760385 0.193831 23.000000 0.000000
0.780396 0.191731 23.007407 0.000000
0.800406 0.182805 23.016933 0.000000
0.820416 0.194096 23.018514 0.000000
0.840426 0.185724 23.000000 0.000000
0.860436 0.188563 23.005376 0.000000
0.880446 0.189917 23.009730 0.000000
0.900456 0.180295 23.016104 0.000000
0.920467 0.193365 23.011778 0.000000
0.940477 0.188892 23.007273 0.000000
0.960487 0.186082 23.016667 0.000000
0.980497 0.194083 23.006369 0.000000
1.000507 0.181482 23.000839 0.000000
1.020517 0.190429 23.010000 0.000000
1.040528 0.189135 23.000000 0.000000
1.060538 0.182679 23.008434 0.000000
1.080548 0.194906 23.021302 0.000000
1.100558 0.184160 23.021037 0.000000
1.120568 0.188463 23.000842 0.000000
1.140578 0.192326 23.000000 0.000000
1.160588 0.181216 23.000000 0.000000
1.180599 0.195958 23.010870 0.000000
1.200609 0.186495 23.000000 0.000000
1.220619 0.186982 23.008889 0.000000
1.240629 0.191640 23.008861 0.000000
1.260639 0.179602 23.014366 0.000000
1.280649 0.188513 23.004974 0.000000
1.300659 0.184484 23.000000 0.000000
1.320670 0.179590 23.000000 0.000000
1.340680 0.190872 23.000941 0.000000
1.360690 0.181146 23.006131 0.000000
1.380700 0.185360 23.018446 0.000000
1.400710 0.188416 23.022897 0.000000
1.420720 0.177729 23.000750 0.000000
1.440730 0.190419 23.000000 0.000000
1.460741 0.182534 23.000000 0.000000
1.480751 0.183140 23.000000 0.000000
1.500761 0.189819 23.000000 0.000000
1.520771 0.177320 23.005676 0.000000
1.540781 0.188291 23.006839 0.000000
1.560791 0.184899 23.013835 0.000000
1.580801 0.180648 23.000000 0.000000
1.600812 0.194770 23.000000 0.000000
1.620822 0.182929 23.012148 0.000000
1.640832 0.189220 23.007835 0.000000
1.660842 0.188715 23.006087 0.000000
1.680852 0.178141 23.006135 0.000000
