serial number: RI70_21217414
torque: 8
start_temp: 26 (27)
finish_temp: 26 (27)
note: po poprawkach
1.280649 0.382584 26.001730 13620.329730
1.300659 0.383021 26.000000 13649.707182
1.320670 0.388542 26.000000 13691.422857
1.340680 0.382229 26.000000 13736.268421
1.360690 0.389271 26.003352 13769.078212
1.380700 0.387793 26.006409 13820.812155
1.400710 0.386080 26.001333 13857.155556
1.420720 0.394555 26.000000 13898.691011
1.440730 0.387147 26.005083 13950.729282
1.460741 0.392450 26.005111 13985.272222
1.480751 0.394046 26.000914 14038.165714
1.500761 0.391137 26.000000 14081.683616
1.520771 0.397935 26.000000 14122.195402
1.540781 0.393816 26.003978 14181.977901
1.560791 0.395512 26.001591 14220.085227
1.580801 0.400224 26.000000 14275.112360
1.600812 0.394409 26.004393 14328.728324
1.620822 0.401523 26.003820 14371.235955
1.640832 0.400014 26.005486 14437.948571
1.660842 0.397550 26.003409 14483.352273
1.680852 0.404769 26.000000 14539.610465
1.700862 0.398222 26.003886 14604.588571
1.720872 0.404143 26.001860 14650.796512
1.740883 0.405981 26.000000 14720.160000
1.760893 0.403278 26.000000 14778.614943
1.780903 0.410243 26.000000 14834.869822
1.800913 0.406777 26.000000 14911.106509
1.820923 0.408495 26.000000 14963.365169
1.840933 0.411082 26.001176 15035.423529
1.860943 0.406713 26.004678 15105.672515
1.880954 0.413888 26.000000 15161.748503
1.900964 0.412856 26.004624 15244.890173
1.920974 0.411823 26.009639 15306.596386
1.940984 0.418620 26.003550 15376.337278
1.960994 0.412060 26.000000 15459.220238
1.981004 0.417702 26.002840 15521.325444
2.001014 0.417817 26.003171 15603.073171
2.021025 0.415130 26.000000 15679.866279
2.041035 0.421955 26.000000 15748.503067
2.061045 0.417042 26.000000 15837.378698
2.081055 0.419485 26.000000 15907.923077
2.101065 0.421762 26.000000 15989.420732
2.121075 0.417258 26.000000 16079.591716
2.141085 0.423419 26.000000 16150.107143
2.161096 0.420340 26.001212 16243.393939
2.181106 0.418968 26.010909 16326.272727
2.201116 0.425452 26.003855 3967.807229
2.221126 0.419668 26.008047 120.408284
2.241136 0.427034 26.000000 198.018634
2.261146 0.426494 26.000000 282.049080
2.281156 0.423616 26.000000 379.132530
2.301167 0.429780 26.000000 453.771084
2.321177 0.424379 26.000000 551.282209
2.341187 0.428014 26.000000 633.658537
2.361197 0.428508 26.000000 709.128049
2.381207 0.424026 26.000000 809.580838
2.401217 0.428964 26.000000 878.893750
2.421227 0.425556 26.000000 961.687117
2.441238 0.425492 26.000000 1051.125749
2.461248 0.430269 26.004663 1115.858896
2.481258 0.424481 26.001463 1209.908537
2.501268 0.429740 26.000000 1279.791411
2.521278 0.428233 26.003152 1347.981818
2.541288 0.426036 26.009024 1439.036585
2.561298 0.431710 26.000000 1495.444444
2.581309 0.426705 26.000000 1576.612121
2.601319 0.431687 26.000000 1650.080745
2.621329 0.432363 26.000000 1704.754717
2.641339 0.429453 26.000000 1791.536585
2.661349 0.434923 26.000000 1846.723270
2.681359 0.430871 26.000000 1912.500000
2.701369 0.430855 26.000000 1987.487342
2.721380 0.434857 26.000000 2033.549383
2.741390 0.429299 26.003152 2110.787879
2.761400 0.435256 26.010633 2165.974684
2.781410 0.433540 26.005185 2215.567901
2.801420 0.430408 26.005679 2290.716049
2.821430 0.436188 26.000245 2332.490798
2.841440 0.430529 26.001975 2396.006173
2.861451 0.435283 26.007407 2454.537037
2.881461 0.435115 26.012911 2497.088608
2.901471 0.432015 26.008834 2568.754601
2.921481 0.436951 26.000000 2611.732919
2.941491 0.433362 26.000000 2664.117284
2.961501 0.435092 26.000000 2726.081761
2.981511 0.438988 26.000000 2763.086957
3.001522 0.432532 26.000000 2828.085890
3.021532 0.438572 26.002264 2871.918239
3.041542 0.436233 26.007702 2914.236025
3.061552 0.434178 26.006541 2974.270440
3.081562 0.439300 26.008553 3008.000000
3.101572 0.431670 26.000000 3061.054545
3.121583 0.436353 26.000000 3107.487500
3.141593 0.435133 26.000000 3142.456790
3.161603 0.432430 26.000000 3197.458599
3.181613 0.437891 26.000000 3229.350000
3.201623 0.433643 26.000000 3271.357576
3.221633 0.435237 26.000000 3317.333333
3.241643 0.438372 26.000000 3345.351515
3.261654 0.431440 26.000000 3393.595092
3.281664 0.438464 26.000000 3425.080745
3.301674 0.435586 26.000000 3456.162500
3.321684 0.433287 26.000000 3498.212500
3.341694 0.438980 26.000000 3521.793750
3.361704 0.430513 26.000736 3560.331288
3.381714 0.436091 26.011500 3591.806250
3.401725 0.434469 26.000247 3619.561728
3.421735 0.431147 26.000000 3661.155280
3.441745 0.436650 26.000000 3687.629630
3.461755 0.430738 26.000000 3723.742138
3.481765 0.433585 26.000000 3762.048485
3.501775 0.435545 26.004720 3795.285714
3.521785 0.429111 26.001463 3841.908537
3.541796 0.436880 26.004416 3877.097403
3.561806 0.432877 26.001928 3919.632530
3.581816 0.430135 26.003210 3968.209877
3.601826 0.435740 26.002945 4007.717791
3.621836 0.426613 26.005217 4060.347826
3.641846 0.432575 26.000976 4103.219512
3.661856 0.431175 26.003478 4149.453416
3.681867 0.427059 26.002667 4199.690909
3.701877 0.432992 26.000500 4241.118750
3.721887 0.426688 26.012121 4290.230303
3.741897 0.428684 26.005509 4331.011976
3.761907 0.431086 26.003457 4375.006173
3.781917 0.423770 26.002733 4418.422360
3.801927 0.430898 26.000000 4451.920732
3.821938 0.425419 26.000000 4496.083832
3.841948 0.423168 26.000000 4528.791411
3.861958 0.429423 26.000000 4565.691358
3.881968 0.419661 26.000000 4604.124260
3.901978 0.425054 26.000000 4631.467066
3.921988 0.422641 26.004606 4669.066667
3.941998 0.417544 26.003333 4698.642857
3.962009 0.423450 26.008780 4725.481707
3.982019 0.415273 26.004706 4762.394118
4.002029 0.417990 26.003593 4782.449102
4.022039 0.418683 26.005000 4815.505952
4.042049 0.410611 26.000000 4844.214286
4.062059 0.418275 26.000000 4864.885542
4.082069 0.412766 26.000000 4903.760234
4.102080 0.410819 26.003275 4924.000000
4.122090 0.416622 26.008421 4958.087719
4.142100 0.406235 26.000000 4992.059880
4.162110 0.411612 26.011529 5014.135294
4.182120 0.409039 26.005057 5055.741379
4.202130 0.404052 26.006667 5085.195402
4.222140 0.411316 26.003550 5116.514793
4.242151 0.403812 26.008000 5160.554286
4.262161 0.406752 26.000000 5184.000000
4.282171 0.407381 26.000000 5227.197674
4.302181 0.399838 26.000000 5264.373563
4.322191 0.407148 26.004162 5291.514451
4.342201 0.401619 26.007399 5341.670520
4.362211 0.399875 26.000000 5366.279330
4.382222 0.405884 26.002093 5410.784884
4.402232 0.396568 26.009888 5455.348315
4.422242 0.405146 26.005176 5480.476471
4.442252 0.402053 26.002286 5532.748571
4.462262 0.397407 26.003448 5565.833333
4.482272 0.405373 26.001600 5606.920000
4.502282 0.397281 26.009829 5662.405714
4.522293 0.401743 26.004800 5690.280000
4.542303 0.401759 26.016512 5745.261628
4.562313 0.394857 26.007374 5790.446927
4.582323 0.403471 26.000000 5827.622857
4.602333 0.396055 26.000000 5891.331429
4.622343 0.394400 26.000000 5925.104972
4.642353 0.398324 26.000000 5981.282486
4.662364 0.388545 26.000000 6037.135593
4.682374 0.396495 26.004368 6072.298851
4.702384 0.393417 26.006776 6139.366120
4.722394 0.388725 26.000000 6183.932203
4.742404 0.397003 26.000000 6236.391061
4.762414 0.387118 26.001348 6304.910112
4.782424 0.392310 26.004199 6343.607735
4.802435 0.391513 26.003390 6411.548023
4.822445 0.384955 26.007778 6470.133333
4.842455 0.392871 26.000000 6518.441989
4.862465 0.384834 26.000000 6596.629834
4.882475 0.384475 26.000000 6642.641304
4.902485 0.389671 26.005000 6710.755682
4.922495 0.380485 26.000649 6783.140541
4.942506 0.388836 26.000000 6833.205556
4.962516 0.384889 26.000000 6914.732240
4.982526 0.381005 26.004372 6979.322404
5.002536 0.389562 26.010503 7046.463687
5.022546 0.379723 26.007174 7133.804348
5.042556 0.385724 26.000000 7193.219780
5.062567 0.385231 26.001099 7277.543956
5.082577 0.380095 26.004348 7359.793478
5.102587 0.388367 26.000889 7426.644444
5.122597 0.380137 26.020645 7523.365591
5.142607 0.380475 26.000000 7593.759777
5.162617 0.385622 26.000000 7676.524324
5.182627 0.377053 26.009574 7773.728723
5.202638 0.385770 26.007865 7846.000000
5.222648 0.380914 26.004324 7941.237838
5.242658 0.377017 26.000000 8030.941489
5.262668 0.385203 26.000000 8111.338889
5.282678 0.374901 26.014105 8215.394737
5.302688 0.381013 26.015050 8296.391089
5.322698 0.379366 26.001333 8388.514286
5.342709 0.373916 26.008037 8487.663551
5.362719 0.381452 26.001333 8566.314286
5.382729 0.374319 26.003364 8668.733645
5.402739 0.374997 26.001290 8756.138249
5.422749 0.377964 26.002085 8841.649289
5.442759 0.370157 26.011963 8943.766355
5.462769 0.377987 26.003019 9020.726415
5.482780 0.372778 26.010370 9112.944444
5.502790 0.370162 26.003738 9204.635514
5.522800 0.379275 26.003285 9278.439614
5.542810 0.369122 26.002909 9374.522727
5.562820 0.374250 26.004131 9452.492958
5.582830 0.372348 26.002752 9531.073394
5.602840 0.368348 26.006239 9619.848624
5.622851 0.376604 26.004593 9685.703349
5.642861 0.369599 26.000901 9767.995495
5.662871 0.371098 26.001690 9842.164319
5.682881 0.373330 26.010141 9905.680751
5.702891 0.366234 26.004977 9985.000000
5.722901 0.373772 26.001869 10044.985981
5.742911 0.368696 26.000000 10112.614350
5.762922 0.366330 26.000000 10182.285714
5.782932 0.374559 26.000000 10235.723810
5.802942 0.365386 26.000000 10305.063348
5.822952 0.371198 26.001308 10361.700935
5.842962 0.369726 26.006000 10416.168182
5.862972 0.365111 26.009674 10479.855814
5.882982 0.372758 26.012019 10528.262911
5.902993 0.365333 26.003408 10585.547085
5.923003 0.366610 26.002581 10639.732719
5.943013 0.369149 26.003535 10684.520930
5.963023 0.362514 26.003036 10741.937500
5.983033 0.369756 26.001502 10787.647887
6.003043 0.364451 26.004163 10833.565611
6.023053 0.362265 26.003408 10883.533632
6.043064 0.369443 26.000930 10923.520930
6.063074 0.359849 26.008108 10971.977477
6.083084 0.365588 26.000000 11014.536364
6.103094 0.363796 26.000000 11053.416290
6.123104 0.360673 26.000000 11099.393665
6.143114 0.368729 26.000000 11136.685185
6.163124 0.361654 26.000000 11177.165179
6.183135 0.364807 26.002364 11218.036364
6.203145 0.366703 26.004977 11253.032258
6.223155 0.360620 26.009600 11294.360000
6.243165 0.368343 26.011852 11330.370370
6.263175 0.363797 26.003105 11364.292237
