serial number: RI70_21217414
torque: 12
start_temp: 23 (24)
finish_temp: 23 (24)
note: przed poprawkami
1.660842 0.199010 23.020000 14490.070000
1.680852 0.206833 23.015464 14511.798969
1.700862 0.194936 23.021449 14585.362319
1.720872 0.206435 23.008083 14626.766839
1.740883 0.200144 23.002400 14666.355000
1.760893 0.193239 23.002488 14740.827751
1.780903 0.210271 23.000000 14766.994536
1.800913 0.198489 23.015882 14834.872549
1.820923 0.202571 23.009897 14892.551546
1.840933 0.199062 23.009458 14925.990148
1.860943 0.190416 23.013971 15005.167464
1.880954 0.206190 23.000000 15044.319588
1.900964 0.197246 23.009709 15101.388350
1.920974 0.195937 23.009852 15173.536946
1.940984 0.205302 23.005155 15206.659794
1.960994 0.192778 23.005742 15284.287081
1.981004 0.205691 23.030625 15336.963542
2.001014 0.201740 23.010000 15384.930000
2.021025 0.189251 23.004319 15464.610329
2.041035 0.201363 23.010000 15506.555000
2.061045 0.191132 23.018095 15577.342857
2.081055 0.199875 23.006186 15643.515464
2.101065 0.205464 23.005076 15688.071066
2.121075 0.189925 23.004673 15768.098131
2.141085 0.206761 23.015208 15822.416667
2.161096 0.197697 23.011683 15881.767327
2.181106 0.194387 23.034877 15959.270936
2.201116 0.201662 23.027192 16009.512315
2.221126 0.188864 23.005308 16084.720379
2.241136 0.204508 23.010256 16153.235897
2.261146 0.199216 23.001182 16210.000000
2.281156 0.187866 23.010237 16290.213270
2.301167 0.201947 23.035758 16353.348485
2.321177 0.191029 23.002464 814.687204
2.341187 0.197230 23.014510 119.563725
2.361197 0.191965 23.009808 180.677885
2.381207 0.180425 23.003063 258.558559
2.401217 0.200262 23.006633 335.889447
2.421227 0.191395 23.004762 398.642857
2.441238 0.192041 23.000000 484.169903
2.461248 0.197680 23.009901 552.915842
2.481258 0.183795 23.018249 622.165899
2.501268 0.197905 23.009903 708.888350
2.521278 0.191395 23.000777 769.888350
2.541288 0.184830 23.008479 847.497696
2.561298 0.196498 23.000792 928.336634
2.581309 0.184563 23.011689 987.474886
2.601319 0.194499 23.014175 1074.189320
2.621329 0.193312 23.023768 1139.333333
2.641339 0.180143 23.029224 1206.228311
2.661349 0.198396 23.017313 1293.393035
2.681359 0.187555 23.009541 1346.747706
2.701369 0.190139 23.012039 1425.043689
2.721380 0.195271 23.009709 1498.077670
2.741390 0.180494 23.012800 1554.155556
2.761400 0.197703 23.025098 1642.328431
2.781410 0.193482 23.024390 1695.136585
2.801420 0.182914 23.004727 1761.822727
2.821430 0.190145 23.023883 1841.140777
2.841440 0.180384 23.002162 1885.941441
2.861451 0.193450 23.035598 1964.550239
2.881461 0.193071 23.025782 2023.322275
2.901471 0.178414 23.007671 2075.397260
2.921481 0.200236 23.019802 2153.856436
2.941491 0.188696 23.004319 2194.600939
2.961501 0.188874 23.019330 2260.200957
2.981511 0.188826 23.013333 2322.365741
3.001522 0.176547 23.023822 2365.680000
3.021532 0.196708 23.025743 2439.722772
3.041542 0.191592 23.025905 2483.047619
3.061552 0.181386 23.034234 2536.918919
3.081562 0.197745 23.020000 2604.955000
3.101572 0.183171 23.025273 2640.590909
3.121583 0.188916 23.000000 2707.872642
3.141593 0.181785 23.000000 2753.674208
3.161603 0.172172 23.005565 2797.421739
3.181613 0.193221 23.005905 2863.042857
3.201623 0.184375 23.015890 2896.296804
3.221633 0.187389 23.016952 2950.700000
3.241643 0.193761 23.016863 2998.887255
3.261654 0.177088 23.004053 3034.224670
3.281664 0.189655 23.005070 3093.816901
3.301674 0.183311 23.004545 3125.190909
3.321684 0.178506 23.000000 3169.572072
3.341694 0.191224 23.011048 3219.366667
3.361704 0.179507 23.009865 3245.708520
3.381714 0.192793 23.007184 3296.014563
3.401725 0.191244 23.004151 3328.669811
3.421735 0.175656 23.014690 3362.106195
3.441745 0.189853 23.025837 3408.124402
3.461755 0.180542 23.010480 3428.187773
3.481765 0.186430 23.000000 3468.595238
3.501775 0.188793 23.017170 3496.089623
3.521785 0.176096 23.004248 3523.676991
3.541796 0.198087 23.026601 3562.266010
3.561806 0.192112 23.043062 3585.526316
3.581816 0.181615 23.023594 3618.723502
3.601826 0.186864 23.013395 3653.958140
3.621836 0.175328 23.012641 3679.203463
3.641846 0.190299 23.005143 3718.600000
3.661856 0.192231 23.019707 3747.570732
