serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 138 (138)
finish_temp: 138 (138)
note: ma interpolacje
3.121583 0.113258 139.462857 0.000000
3.141593 0.119395 138.947692 0.000000
3.161603 0.115415 138.989767 0.000000
3.181613 0.104052 139.413592 0.000000
3.201623 0.088478 139.049143 0.000000
3.221633 0.098139 138.070000 0.000000
3.241643 0.111298 138.643678 0.000000
3.261654 0.101168 138.602151 0.000000
3.281664 0.091483 138.897589 0.000000
3.301674 0.093437 138.716800 0.000000
3.321684 0.103070 138.456915 0.000000
3.341694 0.120622 138.402395 0.000000
3.361704 0.102617 138.547826 0.000000
3.381714 0.108570 138.405797 0.000000
3.401725 0.102892 138.471910 0.000000
3.421735 0.102396 138.142857 0.000000
3.441745 0.115328 138.306011 0.000000
3.461755 0.094779 138.426396 0.000000
3.481765 0.110644 139.108800 0.000000
3.501775 0.112153 138.625882 0.000000
3.521785 0.103158 138.821739 0.000000
3.541796 0.106420 138.124444 0.000000
3.561806 0.097560 138.404607 0.000000
3.581816 0.109579 138.976410 0.000000
3.601826 0.122206 139.157500 0.000000
3.621836 0.109619 138.327485 0.000000
3.641846 0.109849 138.650146 0.000000
3.661856 0.108755 138.989006 0.000000
3.681867 0.099526 139.120000 0.000000
3.701877 0.109783 138.616898 0.000000
3.721887 0.102961 138.838470 0.000000
3.741897 0.107551 138.188462 0.000000
3.761907 0.109562 138.909176 0.000000
3.781917 0.108060 138.883556 0.000000
3.801927 0.111565 138.620933 0.000000
3.821938 0.101865 138.781538 0.000000
3.841948 0.102652 138.978028 0.000000
3.861958 0.113936 138.160958 0.000000
3.881968 0.105266 138.929231 0.000000
3.901978 0.118382 138.778610 0.000000
3.921988 0.115224 138.629136 0.000000
3.941998 0.105552 138.916364 0.000000
3.962009 0.111782 138.308315 0.000000
3.982019 0.097525 138.964923 0.000000
4.002029 0.106124 138.800000 0.000000
4.022039 0.097803 138.524632 0.000000
4.042049 0.099217 138.598812 0.000000
4.062059 0.111161 138.433548 0.000000
4.082069 0.095871 138.588000 0.000000
4.102080 0.111034 138.574213 0.000000
4.122090 0.114476 138.819512 0.000000
4.142100 0.099944 139.013333 0.000000
4.162110 0.107548 138.395294 0.000000
4.182120 0.103647 139.176000 0.000000
4.202130 0.103902 138.438261 0.000000
4.222140 0.106420 138.000000 0.000000
4.242151 0.093354 138.693069 0.000000
4.262161 0.108619 138.824039 0.000000
4.282171 0.104560 138.433149 0.000000
4.302181 0.099269 138.200597 0.000000
4.322191 0.105182 138.428571 0.000000
4.342201 0.086829 138.480000 0.000000
4.362211 0.106943 138.445825 0.000000
4.382222 0.109036 138.163743 0.000000
4.402232 0.097060 138.666131 0.000000
4.422242 0.103253 138.992607 0.000000
4.442252 0.081606 138.616740 0.000000
4.462262 0.106406 138.367761 0.000000
4.482272 0.112105 138.317225 0.000000
4.502282 0.099750 138.204167 0.000000
4.522293 0.109318 138.375200 0.000000
4.542303 0.104621 138.049778 0.000000
4.562313 0.104164 138.463918 0.000000
4.582323 0.104016 138.000000 0.000000
4.602333 0.090917 138.225072 0.000000
4.622343 0.101883 138.623927 0.000000
4.642353 0.103731 138.390400 0.000000
4.662364 0.099242 138.282828 0.000000
4.682374 0.105309 138.682927 0.000000
4.702384 0.084340 138.608584 0.000000
4.722394 0.102426 138.100853 0.000000
4.742404 0.107599 138.553636 0.000000
4.762414 0.098504 138.000000 0.000000
4.782424 0.098584 138.718206 0.000000
4.802435 0.096478 139.353333 0.000000
4.822445 0.097162 138.106161 0.000000
4.842455 0.105702 139.475833 0.000000
4.862465 0.085438 138.267156 0.000000
4.882475 0.099443 138.878924 0.000000
4.902485 0.101180 138.422295 0.000000
4.922495 0.097085 138.462488 0.000000
4.942506 0.106506 138.913831 0.000000
4.962516 0.086243 138.300364 0.000000
