serial number: JANUSZ_3_RI80_21414842
torque: 16
start_temp: 30 (33)
finish_temp: 30 (33)
note: zdjety z Janusza
0.000000 0.413493 30.000000 0.000000
0.020010 0.417278 30.000000 0.000000
0.040020 0.409666 30.000000 0.000000
0.060030 0.417015 30.000000 0.000000
0.080041 0.412497 30.000000 0.000000
0.100051 0.411107 30.000000 0.000000
0.120061 0.416766 30.000000 0.000000
0.140071 0.408611 30.000000 0.000000
0.160081 0.413656 30.000000 0.000000
0.180091 0.412932 30.000000 0.000000
0.200101 0.408099 30.000000 0.000000
0.220112 0.416041 30.000000 0.000000
0.240122 0.408696 30.000000 0.000000
0.260132 0.410924 30.000000 0.000000
0.280142 0.413925 30.000000 0.000000
0.300152 0.406549 30.000000 0.000000
0.320162 0.414068 30.000000 0.000000
0.340172 0.408734 30.000000 0.000000
0.360183 0.407960 30.000000 0.000000
0.380193 0.413626 30.000000 0.000000
0.400203 0.405301 30.000000 0.000000
0.420213 0.410619 30.000000 0.000000
0.440223 0.409168 30.000000 0.000000
0.460233 0.405146 30.000000 0.000000
0.480243 0.412894 30.000000 0.000000
0.500254 0.405479 30.000000 0.000000
0.520264 0.408393 30.000000 0.000000
0.540274 0.410587 30.000000 0.000000
0.560284 0.403807 30.000000 0.000000
0.580294 0.411483 30.000000 0.000000
0.600304 0.406129 30.000000 0.000000
0.620314 0.405343 30.000000 0.000000
0.640325 0.410926 30.000000 0.000000
0.660335 0.402860 30.000000 0.000000
0.680345 0.408413 30.000000 0.000000
0.700355 0.406959 30.000000 0.000000
0.720365 0.403395 30.000000 0.000000
0.740375 0.410980 30.000000 0.000000
0.760385 0.402864 30.000000 0.000000
0.780396 0.405883 30.000000 0.000000
0.800406 0.408251 30.000000 0.000000
0.820416 0.401655 30.000000 0.000000
0.840426 0.408854 30.000000 0.000000
0.860436 0.402725 30.000000 0.000000
0.880446 0.402678 30.000000 0.000000
0.900456 0.408394 30.000000 0.000000
0.920467 0.400493 30.000000 0.000000
0.940477 0.406188 30.000000 0.000000
0.960487 0.403617 30.000000 0.000000
0.980497 0.400252 30.000000 0.000000
1.000507 0.407932 30.000000 0.000000
1.020517 0.399882 30.000000 0.000000
1.040528 0.403320 30.000000 0.000000
1.060538 0.405653 30.000000 0.000000
1.080548 0.398929 30.000000 0.000000
1.100558 0.406426 30.000000 0.000000
1.120568 0.400478 30.000000 0.000000
1.140578 0.401032 30.000000 0.000000
1.160588 0.406585 30.000000 0.000000
1.180599 0.398522 30.000000 0.000000
1.200609 0.404634 30.000000 0.000000
1.220619 0.401646 30.000000 0.000000
1.240629 0.399069 30.000000 0.000000
1.260639 0.406933 30.000000 0.000000
1.280649 0.399028 30.000000 0.000000
1.300659 0.403208 30.000000 0.000000
1.320670 0.404401 30.000000 0.000000
1.340680 0.398855 30.000000 0.000000
1.360690 0.406373 30.000000 0.000000
1.380700 0.400073 30.000000 0.000000
1.400710 0.400135 30.000000 0.000000
1.420720 0.404810 30.000000 0.000000
1.440730 0.396303 30.000000 0.000000
1.460741 0.401766 30.000000 0.000000
1.480751 0.398629 30.000000 0.000000
1.500761 0.395933 30.000000 0.000000
1.520771 0.402282 30.000000 0.000000
1.540781 0.393817 30.000000 0.000000
1.560791 0.397071 30.000000 0.000000
1.580801 0.398220 30.000000 0.000000
1.600812 0.392278 30.000000 0.000000
1.620822 0.399122 30.000000 0.000000
1.640832 0.392962 30.000000 0.000000
1.660842 0.393288 30.000000 0.000000
1.680852 0.398575 30.000000 0.000000
1.700862 0.390569 30.000000 0.000000
1.720872 0.397266 30.000000 0.000000
1.740883 0.394726 30.000000 0.000000
1.760893 0.392400 30.000000 0.000000
1.780903 0.399650 30.000000 0.000000
1.800913 0.391866 30.000000 0.000000
1.820923 0.396934 30.000000 0.000000
1.840933 0.398425 30.000000 0.000000
1.860943 0.392931 30.000000 0.000000
1.880954 0.400604 30.000000 0.000000
1.900964 0.394399 30.000000 0.000000
1.920974 0.396121 30.000000 0.000000
1.940984 0.400932 30.000000 0.000000
1.960994 0.393304 30.000000 0.000000
1.981004 0.399854 30.000000 0.000000
2.001014 0.396677 30.000000 0.000000
2.021025 0.394776 30.000000 0.000000
2.041035 0.402046 30.000000 0.000000
2.061045 0.394516 30.000000 0.000000
2.081055 0.399037 30.000000 0.000000
2.101065 0.400160 30.000000 0.000000
2.121075 0.394738 30.000000 0.000000
2.141085 0.402352 30.000000 0.000000
2.161096 0.396256 30.000000 0.000000
2.181106 0.397506 30.000000 0.000000
2.201116 0.401974 30.000000 0.000000
2.221126 0.394139 30.000000 0.000000
2.241136 0.401011 30.000000 0.000000
2.261146 0.397980 30.000000 0.000000
2.281156 0.396338 30.000000 0.000000
2.301167 0.402974 30.000000 0.000000
2.321177 0.395308 30.000000 0.000000
2.341187 0.399813 30.000000 0.000000
2.361197 0.400959 30.000000 0.000000
2.381207 0.395582 30.000000 0.000000
2.401217 0.403070 30.000000 0.000000
2.421227 0.396898 30.000000 0.000000
2.441238 0.397968 30.000000 0.000000
2.461248 0.402431 30.000000 0.000000
2.481258 0.394694 30.000000 0.000000
2.501268 0.401410 30.000000 0.000000
2.521278 0.398470 30.000000 0.000000
2.541288 0.396248 30.000000 0.000000
2.561298 0.402841 30.000000 0.000000
2.581309 0.395064 30.000000 0.000000
2.601319 0.400066 30.000000 0.000000
2.621329 0.400946 30.000000 0.000000
2.641339 0.395708 30.000000 0.000000
2.661349 0.403294 30.000000 0.000000
2.681359 0.397425 30.000000 0.000000
2.701369 0.399305 30.000000 0.000000
2.721380 0.403764 30.000000 0.000000
2.741390 0.396999 30.000000 0.000000
2.761400 0.403871 30.000000 0.000000
2.781410 0.400810 30.000000 0.000000
2.801420 0.399326 30.000000 0.000000
2.821430 0.406242 30.000000 0.000000
2.841440 0.399172 30.000000 0.000000
2.861451 0.404262 30.000000 0.000000
2.881461 0.404859 30.000000 0.000000
2.901471 0.400344 30.000000 0.000000
2.921481 0.407990 30.000000 0.000000
2.941491 0.402127 30.000000 0.000000
2.961501 0.403859 30.000000 0.000000
2.981511 0.407989 30.000000 0.000000
3.001522 0.401511 30.000000 0.000000
3.021532 0.408808 30.000000 0.000000
3.041542 0.405853 30.000000 0.000000
3.061552 0.404457 30.000000 0.000000
3.081562 0.410896 30.000000 0.000000
3.101572 0.403775 30.000000 0.000000
3.121583 0.408687 30.000000 0.000000
3.141593 0.409302 30.000000 0.000000
3.161603 0.404739 30.000000 0.000000
3.181613 0.412487 30.000000 0.000000
3.201623 0.406502 30.000000 0.000000
3.221633 0.408192 30.000000 0.000000
3.241643 0.411652 30.000000 0.000000
3.261654 0.405196 30.000000 0.000000
3.281664 0.412392 30.000000 0.000000
3.301674 0.408890 30.000000 0.000000
3.321684 0.407777 30.000000 0.000000
3.341694 0.414237 30.000000 0.000000
3.361704 0.406552 30.000000 0.000000
3.381714 0.412062 30.000000 0.000000
3.401725 0.411848 30.000000 0.000000
