serial number: JANUSZ_2_RI80_21414848
torque: 16
start_temp: 23 (24)
finish_temp: 23 (24)
note: po ostygnieciu
0.000000 0.128906 23.000000 8633.097458
0.020010 0.126956 23.000000 8749.161017
0.040020 0.128286 23.000000 8883.346320
0.060030 0.127702 23.000000 9025.558824
0.080041 0.124464 23.000000 9137.550000
0.100051 0.130357 23.000000 9283.039130
0.120061 0.127895 23.000000 9394.728814
0.140071 0.127328 23.000000 9505.285106
0.160081 0.128568 23.000000 9640.519149
0.180091 0.126012 23.008511 9733.370213
0.200101 0.129920 23.000000 9845.806034
0.220112 0.128364 23.000000 9945.802575
0.240122 0.125083 23.000000 10026.500000
0.260132 0.129743 23.000000 10133.038961
0.280142 0.127687 23.004237 10203.033898
0.300152 0.127829 23.000000 10280.506438
0.320162 0.127620 23.000000 10366.719828
0.340172 0.125838 23.000000 10426.819328
0.360183 0.131244 23.000000 10509.303030
0.380193 0.128117 23.000000 10570.815451
0.400203 0.126853 23.000000 10629.466102
0.420213 0.128928 23.000000 10708.427350
0.440223 0.127731 23.000000 10757.450644
0.460233 0.130292 23.000000 10822.186147
0.480243 0.128730 23.000000 10880.047009
0.500254 0.125333 23.000000 10926.012605
0.520264 0.130733 23.000000 10990.709957
0.540274 0.128758 23.000000 11030.371795
0.560284 0.128826 23.000000 11076.692641
0.580294 0.128812 23.000000 11127.523404
0.600304 0.126477 23.000000 11162.408511
0.620314 0.131465 23.000000 11211.528384
0.640325 0.128632 23.000000 11243.269231
0.660335 0.126243 23.000000 11279.799163
0.680345 0.129282 22.994978 11324.268398
0.700355 0.128291 22.996410 11350.534188
0.720365 0.129479 23.000000 11387.883117
0.740375 0.128752 23.000000 11420.547414
0.760385 0.126296 23.000000 11446.159664
0.780396 0.131604 23.000000 11487.350877
0.800406 0.129213 23.000000 11509.497872
0.820416 0.127878 23.000000 11540.681223
0.840426 0.129000 23.000000 11576.055319
0.860436 0.127616 23.000000 11596.728814
0.880446 0.131477 23.000000 11636.065789
0.900456 0.129504 23.000000 11656.758621
0.920467 0.127460 23.000000 11686.270386
0.940477 0.130450 23.000000 11720.182609
0.960487 0.129552 23.000000 11739.416309
0.980497 0.129548 23.000000 11774.227468
1.000507 0.129242 23.000000 11796.931034
1.020517 0.127265 23.000000 11823.309322
1.040528 0.132141 23.000000 11853.764444
1.060538 0.130179 23.000000 11870.293103
1.080548 0.128989 23.000000 11898.069565
1.100558 0.130472 23.000000 11920.250000
1.120568 0.128204 23.000000 11937.940426
1.140578 0.131710 23.000000 11965.635556
1.160588 0.129030 23.000000 11978.133047
1.180599 0.128306 23.000000 12001.173729
1.200609 0.132365 23.000000 12024.969163
1.220619 0.129659 23.000000 12036.887931
1.240629 0.130638 23.000000 12064.567686
1.260639 0.130118 23.000000 12080.429825
1.280649 0.127606 22.983797 12099.278481
1.300659 0.132709 22.990442 12127.628319
1.320670 0.130191 23.000000 12138.530435
1.340680 0.128603 23.000000 12163.969957
1.360690 0.131084 23.013043 12186.330435
1.380700 0.129045 23.000000 12202.004292
1.400710 0.132468 23.000000 12229.513274
1.420720 0.130502 23.000000 12243.384279
1.440730 0.129316 23.000000 12267.165939
1.460741 0.133185 23.000000 12287.828194
1.480751 0.131081 22.991228 12302.030702
1.500761 0.131516 23.000000 12328.889868
1.520771 0.131408 23.000000 12340.219828
1.540781 0.130306 23.000000 12360.428571
1.560791 0.134120 23.000000 12385.040359
1.580801 0.130815 23.000000 12392.554585
1.600812 0.129252 23.000000 12413.974026
1.620822 0.132942 23.000000 12430.322115
1.640832 0.129002 23.006452 12445.348387
1.660842 0.131624 23.000000 12466.967532
1.680852 0.128332 23.000000 12475.826923
1.700862 0.128664 23.000000 12501.333333
1.720872 0.131781 23.000000 12520.227273
1.740883 0.129330 22.987013 12532.207792
1.760893 0.129396 23.000000 12561.389610
1.780903 0.129094 23.000000 12575.070968
1.800913 0.128832 23.000000 12596.452229
1.820923 0.131952 23.000000 12623.657895
1.840933 0.128525 23.000000 12635.974026
1.860943 0.128276 23.000000 12664.076923
1.880954 0.131517 23.000000 12683.152318
1.900964 0.129903 23.000000 12702.522581
1.920974 0.130942 22.980263 12731.730263
1.940984 0.129093 23.000000 12745.509677
1.960994 0.130773 23.000000 12773.129870
1.981004 0.131844 23.000000 12797.131579
2.001014 0.129569 23.000000 12815.188312
2.021025 0.129442 23.000000 12846.745098
2.041035 0.129570 23.000000 12864.649682
2.061045 0.130764 23.000000 12891.457516
2.081055 0.131051 23.000000 12922.506579
2.101065 0.130338 23.000000 12938.837662
2.121075 0.130438 23.000000 12973.051948
2.141085 0.132490 23.000000 12996.606667
2.161096 0.131611 23.000000 13019.868421
2.181106 0.131539 23.000000 13058.033113
2.201116 0.130186 23.000000 13072.870130
2.221126 0.132252 23.000000 13110.973856
2.241136 0.133104 23.000000 13136.281879
2.261146 0.131359 23.000000 13160.671141
2.281156 0.131021 23.000000 13200.729032
2.301167 0.130900 23.000000 13221.238411
2.321177 0.133644 22.998400 13260.946667
2.341187 0.132375 22.991316 13297.440789
2.361197 0.130807 22.997143 13324.058442
2.381207 0.131787 23.000000 13371.675497
2.401217 0.133277 22.993333 13402.913333
2.421227 0.132577 23.000000 13443.867550
2.441238 0.132131 23.000000 13492.881579
2.461248 0.131247 23.000000 13523.317881
2.481258 0.133779 23.000000 13579.700000
2.501268 0.132853 23.000000 13621.622517
