serial number: RI80_21414842
torque: 16
start_temp: 11 (24)
finish_temp: 10 (24)
note: montaz na obrotach
0.000000 0.115811 13.036047 8196.703488
0.020010 0.108604 13.003011 8076.102151
0.040020 0.106572 13.191784 7540.870270
0.060030 0.118041 13.147219 8562.940828
0.080041 0.102418 13.134490 8518.617347
0.100051 0.114219 13.288966 8079.660920
0.120061 0.112262 13.253702 8384.944751
0.140071 0.104158 13.022199 8261.780105
0.160081 0.117532 13.119765 8617.370588
0.180091 0.104515 13.243109 7742.331606
0.200101 0.110778 12.903146 8157.398876
0.220112 0.115102 12.900800 7885.325714
0.240122 0.101244 13.332727 8381.242424
0.260132 0.116540 13.033023 8418.726744
0.280142 0.107585 13.002151 7593.096774
0.300152 0.107451 13.243459 8445.875676
0.320162 0.115686 13.233064 8478.323699
0.340172 0.100838 12.989495 7676.035354
0.360183 0.113151 13.207771 7355.754286
0.380193 0.110524 13.145792 7600.338798
0.400203 0.103360 12.886186 8154.247423
0.420213 0.116293 13.127399 7142.947977
0.440223 0.102831 13.191340 7808.278351
0.460233 0.112358 12.988864 7436.073864
0.480243 0.115334 13.079770 7782.454023
0.500254 0.100776 13.225528 9024.487437
0.520264 0.116804 13.073647 7962.658824
0.540274 0.105278 13.038750 7475.348958
0.560284 0.107917 13.196739 8557.315217
0.580294 0.116391 13.188671 8446.236994
0.600304 0.100707 13.094800 8705.785000
0.620314 0.116120 13.065116 8210.191860
0.640325 0.108701 13.184699 8499.256831
0.660335 0.103032 13.056632 7587.510526
0.680345 0.116821 13.045287 8604.500000
0.700355 0.101306 13.156364 7873.898990
0.720365 0.112937 13.055682 7818.710227
0.740375 0.112069 13.031285 8408.430168
0.760385 0.100077 13.217400 7676.880000
0.780396 0.117154 13.092791 8216.796512
0.800406 0.104960 12.936754 8264.151832
0.820416 0.108169 13.190769 7984.137363
0.840426 0.114617 13.126102 8603.807910
0.860436 0.099529 12.950647 7844.144279
0.880446 0.115418 12.968140 7722.889535
0.900456 0.107522 13.180321 7547.294118
0.920467 0.103306 13.016995 7617.326425
0.940477 0.116034 12.924855 8291.190751
0.960487 0.100684 13.029950 7719.201005
0.980497 0.112535 13.098079 8073.514124
1.000507 0.111118 13.103646 7301.762431
1.020517 0.100515 13.074141 8388.929293
1.040528 0.117919 13.183158 7387.929825
1.060538 0.103706 13.077684 8734.631579
1.080548 0.109017 12.988634 8390.229508
1.100558 0.114656 13.122500 7437.403409
1.120568 0.099782 13.214129 7741.398010
1.140578 0.117834 12.889704 7033.940828
1.160588 0.107477 13.193155 8859.058824
1.180599 0.104443 13.021571 7872.942408
