serial number: RI80_21414842
torque: 16
start_temp: 17 (26)
finish_temp: 10 (27)
note: montaz na obrotach
0.000000 0.165665 13.015028 8393.309392
0.020010 0.158579 13.031702 8435.090426
0.040020 0.163697 13.067541 7813.163934
0.060030 0.163134 12.954194 7470.209677
0.080041 0.159419 13.009626 8060.668449
0.100051 0.165754 13.073149 7961.110497
0.120061 0.160040 13.122979 8345.686170
0.140071 0.162753 13.092459 8025.322404
0.160081 0.164990 12.982637 7827.670330
0.180091 0.159526 13.028783 7714.915344
0.200101 0.165872 13.129945 7885.795580
0.220112 0.161638 13.010435 7760.842391
0.240122 0.160396 13.049149 8596.047872
0.260132 0.166771 13.141111 7725.388889
0.280142 0.159938 13.015026 7945.026455
0.300152 0.164309 12.934725 8632.609890
0.320162 0.164771 13.090435 7985.277174
0.340172 0.160253 13.121505 8103.516129
0.360183 0.167211 13.029333 7922.188889
0.380193 0.161829 13.153191 8053.893617
0.400203 0.162915 13.074945 8927.192308
0.420213 0.166745 12.909111 8923.811111
0.440223 0.159969 13.045532 7907.494681
0.460233 0.166652 13.011844 7431.391061
0.480243 0.163301 12.936129 8021.876344
0.500254 0.160856 13.006022 7972.870968
0.520264 0.168304 12.916136 8298.284091
0.540274 0.160764 13.002781 8427.021390
0.560284 0.165065 12.924835 7915.390110
0.580294 0.166575 13.078674 8649.104972
0.600304 0.161338 13.103102 7605.326203
0.620314 0.167878 12.993258 8280.505618
0.640325 0.162252 13.049574 8098.617021
0.660335 0.162391 13.031381 8572.226519
0.680345 0.167402 13.078232 8131.055249
0.700355 0.160271 13.041489 8484.824468
0.720365 0.166464 12.965556 8206.722222
0.740375 0.163964 13.079341 7226.291209
0.760385 0.161460 13.017946 7514.486486
0.780396 0.167774 13.143556 7982.150000
0.800406 0.161576 13.229032 8002.005376
0.820416 0.165093 13.093778 9156.855556
0.840426 0.167176 13.195000 8207.472826
0.860436 0.161398 13.077158 8350.142077
0.880446 0.168157 12.888686 7754.400000
0.900456 0.163718 13.088342 8713.962567
0.920467 0.163072 13.218043 7694.081522
0.940477 0.167988 13.076854 7881.252809
0.960487 0.160932 13.000642 9722.748663
0.980497 0.166791 12.977680 7978.591160
1.000507 0.165512 13.008619 9227.309392
1.020517 0.162291 12.961081 8312.605405
1.040528 0.168599 13.212429 7940.728814
1.060538 0.162628 12.860994 8863.646409
1.080548 0.165764 13.152626 8058.195531
1.100558 0.167161 13.055870 8033.423913
1.120568 0.162058 13.078913 7878.222826
1.140578 0.168518 13.089609 8276.402235
1.160588 0.163716 13.143077 7903.241758
1.180599 0.163755 12.951257 8607.508197
1.200609 0.168453 12.921573 7700.415730
1.220619 0.161631 12.988324 7841.227027
1.240629 0.166274 13.107760 8045.961749
1.260639 0.166524 12.962889 8077.727778
1.280649 0.162673 13.151522 8205.456522
1.300659 0.167502 13.062541 8151.204420
1.320670 0.164126 12.942983 7882.430939
1.340680 0.164346 13.020109 7152.857923
1.360690 0.168033 13.003820 7961.764045
1.380700 0.161921 13.066378 7913.605405
1.400710 0.167157 13.023911 7950.703911
1.420720 0.164415 13.163978 7503.524862
1.440730 0.162734 13.172473 8407.075269
1.460741 0.168032 12.869778 7658.305556
1.480751 0.162491 12.890870 7751.244565
1.500761 0.165853 13.070667 9077.088889
1.520771 0.167754 13.268927 7555.372881
1.540781 0.161755 13.043871 7898.752688
1.560791 0.167207 12.860000 8441.164835
1.580801 0.164751 13.079116 7232.861878
1.600812 0.163572 13.132473 6717.129032
1.620822 0.168129 13.020682 8858.977273
1.640832 0.162292 13.084086 8610.559140
1.660842 0.166932 13.111823 8610.071823
1.680852 0.166152 13.179091 7762.926136
1.700862 0.163288 13.183957 7565.294118
1.720872 0.167529 13.092067 7951.357542
1.740883 0.163269 13.091522 8970.527174
1.760893 0.164559 12.897017 7953.994475
1.780903 0.168236 12.990667 7332.416667
1.800913 0.161650 13.142609 7934.201087
1.820923 0.167142 12.849385 8024.363128
1.840933 0.165157 13.103351 8189.027027
1.860943 0.162651 13.094365 8150.596685
1.880954 0.167849 13.023778 7564.933333
1.900964 0.160999 12.976344 7901.381720
1.920974 0.165391 12.810166 8090.082873
1.940984 0.166256 12.949670 7877.824176
1.960994 0.160541 13.075484 6540.618280
1.981004 0.167315 13.307556 8349.211111
2.001014 0.162192 13.110054 7935.929730
2.021025 0.163269 13.106593 8158.950549
2.041035 0.167436 13.129617 8219.896175
2.061045 0.159669 13.055914 8135.123656
2.081055 0.165454 13.026593 8168.170330
2.101065 0.163387 13.298043 8547.114130
2.121075 0.161559 12.915243 7602.956757
2.141085 0.167290 12.873483 7373.865169
2.161096 0.159837 13.199372 8532.759162
2.181106 0.163895 13.046889 9060.138889
2.201116 0.164701 13.030870 7329.125000
2.221126 0.159098 13.015873 7232.285714
2.241136 0.166365 13.028989 7549.612360
2.261146 0.161228 13.165503 8334.417989
2.281156 0.162736 12.962842 8716.950820
2.301167 0.167042 13.044045 7266.494382
2.321177 0.158985 12.983579 8220.494737
2.341187 0.165113 13.002873 8416.497238
2.361197 0.162478 13.068387 7727.150538
2.381207 0.160252 13.052688 7278.967742
2.401217 0.166106 13.040000 7815.592179
2.421227 0.159562 13.130681 8609.298429
2.441238 0.163818 13.053187 8699.098901
2.461248 0.164859 13.090273 8192.065574
2.481258 0.158888 13.203810 8358.015873
2.501268 0.166867 13.163333 9046.172222
2.521278 0.159928 13.128421 7554.415789
2.541288 0.162100 13.035435 7939.923913
2.561298 0.165178 13.126374 7285.362637
2.581309 0.158101 13.030265 7567.608466
2.601319 0.164162 13.080000 8098.846154
2.621329 0.161421 13.011183 8299.844086
2.641339 0.160213 13.185027 7833.754011
2.661349 0.164340 12.969451 7427.148352
2.681359 0.158993 12.935238 7398.132275
2.701369 0.163165 13.079568 8439.345946
2.721380 0.163252 13.177946 7755.994595
2.741390 0.157887 13.043404 8368.632979
2.761400 0.164430 13.059227 8815.701657
2.781410 0.158579 13.020208 7816.031250
2.801420 0.161077 13.009565 8015.260870
2.821430 0.163128 13.255269 8580.586022
2.841440 0.157925 13.048936 7842.936170
2.861451 0.163900 13.069348 8843.793478
2.881461 0.160732 13.108324 7603.448649
2.901471 0.159930 13.162947 8459.257895
2.921481 0.164305 13.189890 7957.945055
2.941491 0.158492 13.055873 8399.084656
2.961501 0.162563 13.053904 7996.967914
2.981511 0.161865 12.877609 8170.538043
3.001522 0.157913 13.005291 8760.439153
3.021532 0.163796 13.009617 7450.060109
3.041542 0.159149 13.152169 8181.650794
3.061552 0.161485 13.002353 7947.032086
3.081562 0.161917 12.920217 8698.396739
3.101572 0.158487 13.168333 8517.489583
3.121583 0.162809 12.967956 7974.552486
3.141593 0.160123 13.114764 8106.895288
3.161603 0.159388 13.040000 9161.201058
3.181613 0.163608 13.070497 8486.121547
3.201623 0.158833 13.048000 8519.273684
3.221633 0.161368 13.089198 8060.117647
3.241643 0.162130 13.092826 7906.342391
3.261654 0.158554 12.895745 8109.069149
3.281664 0.163352 12.853187 8218.609890
3.301674 0.159892 13.097143 7828.560847
3.321684 0.161062 13.073333 8557.591398
3.341694 0.161755 13.028663 7117.860963
3.361704 0.159286 13.195556 8061.275132
3.381714 0.162475 13.254080 7924.528000
3.401725 0.161507 12.967869 8433.745902
3.421735 0.159540 13.050159 7740.968254
3.441745 0.164105 13.160000 8089.479339
3.461755 0.160400 13.114961 8071.496063
3.481765 0.162211 12.877705 7212.106557
3.501775 0.162379 13.040000 8023.986014
3.521785 0.158974 12.997037 7852.111111
3.541796 0.162670 13.071658 7387.556150
3.561806 0.160906 13.037174 8639.157609
3.581816 0.161147 13.072727 8157.807487
3.601826 0.162608 12.963279 7714.103825
3.621836 0.160001 12.999355 7804.069892
3.641846 0.162484 12.979574 7666.617021
3.661856 0.161747 12.902391 8068.304348
3.681867 0.159989 13.189362 7806.765957
3.701877 0.163303 12.967033 7873.648352
3.721887 0.160143 12.946738 7550.245989
3.741897 0.160954 13.056684 8485.700535
3.761907 0.162211 13.048770 8720.315508
3.781917 0.159887 13.014255 7773.946809
3.801927 0.162786 12.865870 8068.298913
3.821938 0.162094 13.160430 8287.193548
3.841948 0.161409 13.014725 7975.049451
3.861958 0.163532 12.931271 8133.121547
3.881968 0.160313 12.946310 8000.000000
3.901978 0.161576 12.967487 8202.508021
3.921988 0.161533 13.059459 8066.313514
3.941998 0.159784 12.975829 8251.812834
3.962009 0.163815 13.086957 8846.000000
3.982019 0.161438 13.115699 8087.381720
4.002029 0.161597 12.935784 8096.167568
4.022039 0.162508 13.041720 7982.591398
4.042049 0.160219 13.140107 8422.914439
4.062059 0.162680 13.045652 7271.456522
4.082069 0.161963 13.138710 8099.360215
4.102080 0.162123 13.135217 7684.288043
4.122090 0.163729 13.020000 7037.972826
4.142100 0.161087 12.967097 8326.322581
4.162110 0.164002 13.017049 8720.366120
4.182120 0.162719 13.043478 8087.059783
4.202130 0.161635 13.040000 8423.870270
4.222140 0.163140 13.073514 7893.848649
4.242151 0.161622 12.964541 7278.059459
4.262161 0.162624 13.093043 7606.771739
4.282171 0.162820 12.914839 7307.822581
4.302181 0.162159 13.003226 7452.645161
4.322191 0.162598 12.931585 7858.032787
4.342201 0.162812 13.047174 7172.461957
4.362211 0.162718 13.035508 8352.764706
4.382222 0.162146 13.114536 8015.060109
4.402232 0.161115 12.953439 8533.878307
4.422242 0.162719 13.095249 8355.066298
4.442252 0.162049 12.983226 8086.188172
4.462262 0.162238 12.893187 8269.994505
4.482272 0.162018 13.022032 7590.818182
4.502282 0.162078 12.997826 7902.228261
4.522293 0.162699 13.041739 7963.570652
4.542303 0.162224 13.061390 8497.524064
4.562313 0.162365 13.042378 8536.600000
4.582323 0.162100 12.996503 7687.579235
4.602333 0.162563 13.058610 8044.074866
4.622343 0.164310 13.060765 7699.371585
4.642353 0.161738 12.906304 8218.288043
4.662364 0.162467 13.064262 7997.830601
4.682374 0.162794 13.143913 7823.103261
4.702384 0.161661 12.959358 7729.449198
4.722394 0.163823 12.985714 8158.835165
4.742404 0.161325 12.942674 8261.641711
4.762414 0.163855 13.079560 7618.521978
4.782424 0.163868 13.029189 8334.124324
4.802435 0.161932 13.030054 8045.221622
4.822445 0.163881 13.034348 9003.043478
4.842455 0.161303 12.999135 8444.659459
4.862465 0.162947 13.038033 7651.169399
4.882475 0.163857 13.162174 7309.913043
4.902485 0.160203 13.004894 7751.436170
4.922495 0.163382 12.921739 7525.902174
4.942506 0.161907 12.902888 8442.796791
4.962516 0.162618 13.054054 7962.448649
4.982526 0.165054 12.863425 8637.779006
5.002536 0.160582 13.088087 7580.661202
5.022546 0.164229 13.044301 7827.021505
5.042556 0.163105 12.994973 8040.743169
5.062567 0.161099 13.073191 7656.250000
5.082577 0.164333 13.147845 8351.806630
5.102587 0.160845 13.081730 8203.313514
5.122597 0.163337 13.002595 7677.762162
5.142607 0.164357 13.023696 8014.956522
5.162617 0.159562 13.089840 8259.379679
5.182627 0.164137 13.066011 8382.781421
5.202638 0.161219 13.092406 7928.251337
5.222648 0.162633 13.048043 8014.396739
5.242658 0.165279 12.994945 7716.879121
5.262668 0.159214 13.013690 7960.235294
5.282678 0.164902 12.980659 8671.021978
5.302688 0.163172 13.152826 8156.820652
5.322698 0.160705 12.973617 9284.367021
5.342709 0.164762 13.138343 7562.060773
5.362719 0.159600 13.014105 8163.605263
5.382729 0.162999 12.991160 7733.281768
5.402739 0.163582 12.929626 7860.422460
5.422749 0.159415 13.058065 8212.661290
5.442759 0.165028 13.150110 7789.423077
5.462769 0.160349 13.129840 8603.609626
5.482780 0.161975 13.028043 7842.010870
