serial number: RI80_21414842
torque: 16
start_temp: 17 (26)
finish_temp: 10 (27)
note: montaz na obrotach
0.000000 0.155663 12.997128 8624.410256
0.020010 0.158415 13.115745 7184.106383
0.040020 0.152089 13.015918 7852.295918
0.060030 0.158645 13.207330 7713.712042
0.080041 0.154022 13.011897 8270.769231
0.100051 0.154759 12.984293 7722.151832
0.120061 0.160184 13.144632 7549.347368
0.140071 0.151671 13.040603 7645.145729
0.160081 0.156735 13.114681 8805.313830
0.180091 0.156537 13.024124 8030.664948
0.200101 0.153988 13.060923 7443.492308
0.220112 0.159670 12.989519 7560.497326
0.240122 0.152408 13.049091 7756.080808
0.260132 0.155959 13.043158 8198.015789
0.280142 0.159959 13.153298 8339.031414
0.300152 0.152776 13.019692 8222.610256
0.320162 0.159735 13.262857 7966.338624
0.340172 0.155832 13.107150 8006.419689
0.360183 0.155367 12.956842 8132.357895
0.380193 0.161211 13.109841 8174.439153
0.400203 0.153170 13.003093 8122.835052
0.420213 0.158196 13.116211 8517.873684
0.440223 0.158478 13.055288 8009.680628
0.460233 0.154710 13.136122 7745.801020
0.480243 0.160223 13.120437 7551.737705
0.500254 0.153846 12.991919 8015.580808
0.520264 0.156529 13.142316 7710.300000
0.540274 0.160057 12.975873 8196.380952
0.560284 0.153373 12.918351 8190.020619
0.580294 0.159585 13.071368 7339.321053
0.600304 0.156737 13.090833 8202.937500
0.620314 0.155502 13.085864 7947.837696
0.640325 0.159770 12.959365 8115.243386
0.660335 0.153362 12.951472 8002.233503
0.680345 0.157524 12.990947 8700.631579
0.700355 0.158712 13.007831 8856.529101
0.720365 0.154690 13.132371 7988.036082
0.740375 0.160837 13.177634 8323.930108
0.760385 0.154860 13.062268 7484.551546
0.780396 0.156457 13.138220 7911.225131
0.800406 0.160472 13.016043 7745.866310
0.820416 0.153315 13.139692 7859.415385
0.840426 0.159284 13.133194 7458.434555
0.860436 0.157703 13.057143 7943.280423
0.880446 0.155523 12.982176 8608.471503
0.900456 0.160014 12.850638 8398.760638
0.920467 0.153929 13.105699 7866.015544
0.940477 0.157392 13.031458 7736.588542
0.960487 0.159372 13.081474 7687.352632
0.980497 0.154252 13.227708 7699.812500
1.000507 0.160058 13.217778 8452.571429
1.020517 0.156163 13.085864 7501.329843
1.040528 0.156135 13.020105 8470.722513
1.060538 0.160272 13.051640 8201.862434
1.080548 0.153407 13.000000 8710.871795
1.100558 0.157999 13.140211 8799.315789
1.120568 0.158970 12.999153 8946.518519
1.140578 0.154706 13.123125 8332.072917
1.160588 0.159612 13.001244 9190.715026
1.180599 0.155763 13.190674 7717.777202
1.200609 0.157367 13.058511 8016.978723
1.220619 0.160668 13.028021 8439.812834
1.240629 0.153745 12.889026 7758.605128
1.260639 0.159640 12.936211 8629.031579
1.280649 0.157676 13.095532 8008.101064
1.300659 0.154803 13.137347 8190.831633
1.320670 0.160529 13.188817 8256.462366
1.340680 0.153857 13.038958 8353.854167
1.360690 0.157960 12.935417 7249.151042
1.380700 0.160871 13.100860 7421.338710
1.400710 0.154366 13.101949 8341.030769
1.420720 0.159447 13.054118 7745.090909
1.440730 0.156809 13.225979 8532.680412
