serial number: RI70_21209061
torque: 8
start_temp: 22 (22)
finish_temp: 22 (23)
note: montaz przymiar
1.500761 0.684690 22.000000 1335.941860
1.520771 0.680408 22.000000 1412.847458
1.540781 0.683067 22.000000 1489.062500
1.560791 0.684930 22.000000 1565.329609
1.580801 0.681762 22.000000 1637.630058
1.600812 0.683936 22.000000 1707.737143
1.620822 0.681940 22.000000 1775.738636
1.640832 0.680618 22.000000 1841.692737
1.660842 0.683972 22.000000 1904.723529
1.680852 0.681223 22.000000 1965.551724
1.700862 0.683432 22.000000 2025.480447
1.720872 0.681817 22.000000 2083.754286
1.740883 0.680442 22.000000 2139.919540
1.760893 0.685411 22.000000 2196.111111
1.780903 0.679946 22.000000 2252.569832
1.800913 0.681439 22.000000 2306.637427
1.820923 0.683107 22.000000 2359.011561
1.840933 0.678238 22.000000 2411.333333
1.860943 0.683627 22.000000 2463.122807
1.880954 0.680287 22.000000 2514.272222
1.900964 0.677223 22.000000 2565.011299
1.920974 0.682537 21.996800 2614.600000
1.940984 0.677020 21.993778 2662.594444
1.960994 0.680645 21.998171 2710.142857
1.981004 0.678672 22.000000 2756.346369
2.001014 0.677086 22.000000 2802.320225
2.021025 0.681980 22.000000 2847.250000
2.041035 0.676361 22.000000 2891.392045
2.061045 0.677848 22.000000 2936.310734
2.081055 0.678328 22.000000 2980.831522
2.101065 0.674796 22.000000 3025.839080
2.121075 0.679488 21.998636 3071.659091
2.141085 0.677002 21.996744 3116.837209
2.161096 0.674836 21.998907 3161.983607
2.181106 0.679747 22.000000 3209.851429
2.201116 0.673314 22.000000 3256.837989
2.221126 0.677477 22.000000 3302.327684
2.241136 0.675680 22.002198 3348.461538
2.261146 0.672755 22.003164 3392.666667
2.281156 0.678440 22.000227 3433.335227
2.301167 0.671633 22.000000 3476.923497
2.321177 0.674054 22.000000 3515.787356
2.341187 0.675199 22.000000 3559.217877
2.361197 0.671372 22.000000 3596.222222
2.381207 0.675977 22.000000 3636.747253
2.401217 0.671525 22.000000 3669.233696
2.421227 0.670894 22.000000 3704.441989
2.441238 0.674347 22.000000 3736.473684
2.461248 0.668864 22.000000 3761.800000
2.481258 0.672101 21.993370 3797.546961
2.501268 0.671545 21.989888 3820.067416
2.521278 0.669992 22.000000 3850.361582
2.541288 0.673697 22.000000 3877.116022
2.561298 0.667884 22.000000 3900.382022
2.581309 0.669464 22.000000 3923.276836
2.601319 0.671442 22.000000 3948.533333
2.621329 0.667897 22.000000 3971.011111
2.641339 0.671439 22.000000 3985.601124
2.661349 0.667932 22.000000 4015.185393
2.681359 0.667260 22.000000 4034.644444
2.701369 0.669717 22.000000 4045.027624
2.721380 0.664755 22.000000 4068.807692
2.741390 0.668604 22.000000 4088.748634
2.761400 0.665641 22.000000 4100.267045
2.781410 0.663059 22.000000 4115.005525
2.801420 0.666986 22.000000 4130.983696
2.821430 0.664154 22.000000 4143.211111
2.841440 0.664257 22.000000 4164.281768
2.861451 0.665568 22.004667 4188.744444
2.881461 0.659369 22.002892 4199.295181
