serial number: RI70_21209061
torque: 8
start_temp: 27 (28)
finish_temp: 28 (29)
note: montaz na obrotach
0.000000 0.915907 27.079756 11686.932927
0.020010 0.920785 27.072747 11713.670330
0.040020 0.915925 27.049249 11739.462428
0.060030 0.919102 27.048046 11759.545977
0.080041 0.918148 27.049017 11784.202312
0.100051 0.915171 27.060455 11804.630682
0.120061 0.920860 27.075909 11832.079545
0.140071 0.914415 27.063086 11851.268571
0.160081 0.916478 27.052632 11872.801170
0.180091 0.918261 27.051173 11897.972067
0.200101 0.914363 27.045680 11924.248521
0.220112 0.917970 27.049778 11948.072222
0.240122 0.915943 27.055723 11976.104046
0.260132 0.914428 27.053486 12002.840000
0.280142 0.917388 27.054651 12033.796512
0.300152 0.914376 27.062222 12059.822222
0.320162 0.914350 27.064000 12093.440000
0.340172 0.915947 27.064706 12121.535294
0.360183 0.911738 27.054607 12153.398876
0.380193 0.918318 27.068208 12182.895954
0.400203 0.912797 27.062247 12215.910112
0.420213 0.913780 27.070409 12241.847953
0.440223 0.916082 27.051954 12275.045977
0.460233 0.911094 27.045943 12299.057143
0.480243 0.914800 27.040000 12329.393258
0.500254 0.912878 27.060571 12357.280000
0.520264 0.911670 27.082458 12380.502793
0.540274 0.916754 27.069831 12413.327684
0.560284 0.909754 27.061302 12432.674556
0.580294 0.914659 27.075506 12463.494382
0.600304 0.911001 27.067797 12490.146893
0.620314 0.908717 27.067955 12511.244318
0.640325 0.914574 27.057528 12543.185393
0.660335 0.909042 27.051497 12566.023952
0.680345 0.909719 27.064884 12586.389535
0.700355 0.912253 27.095385 12616.340659
0.720365 0.906469 27.075932 12639.683616
0.740375 0.911555 27.063908 12657.241379
0.760385 0.908190 27.043657 12682.160000
0.780396 0.907758 27.049718 12705.005650
0.800406 0.910607 27.062857 12729.497143
0.820416 0.907549 27.071648 12746.142857
0.840426 0.907949 27.056140 12769.356725
0.860436 0.907057 27.056591 12798.767045
0.880446 0.904379 27.066961 12819.375691
0.900456 0.910127 27.078353 12842.252941
0.920467 0.905267 27.069348 12869.048913
0.940477 0.904348 27.062959 12897.349112
0.960487 0.906363 27.051111 12922.616667
0.980497 0.902241 27.047111 12946.850000
1.000507 0.905387 27.061176 12980.523529
1.020517 0.904670 27.067243 13008.837838
1.040528 0.900936 27.069708 13034.959064
1.060538 0.906553 27.077333 13072.072222
1.080548 0.901109 27.064045 13101.960674
1.100558 0.904139 27.055141 13132.231638
1.120568 0.902508 27.074713 13169.511494
1.140578 0.901481 27.092222 13202.238889
1.160588 0.904253 27.082529 13239.402299
1.180599 0.900293 27.066067 13283.567416
1.200609 0.901321 27.062295 13319.732240
1.220619 0.903894 27.072832 13363.208092
1.240629 0.897971 27.089545 13398.937500
1.260639 0.902715 27.089724 13441.441989
1.280649 0.899651 27.072045 13486.346591
1.300659 0.898167 27.070337 13525.657303
1.320670 0.902436 27.055419 13573.273743
1.340680 0.897535 27.058266 13618.335260
1.360690 0.899875 27.054400 13664.131429
1.380700 0.900658 27.058396 13716.069519
1.400710 0.896881 27.068182 13763.693182
1.420720 0.902073 27.075529 13815.117647
1.440730 0.898542 27.091828 13868.145161
1.460741 0.897203 27.067907 13921.831395
1.480751 0.900977 27.060000 13979.943820
1.500761 0.896612 27.056983 14036.022346
1.520771 0.901468 27.063955 14095.785311
1.540781 0.897384 27.069727 14159.109290
1.560791 0.897484 27.063646 14221.005525
1.580801 0.901285 27.062727 14288.318182
1.600812 0.896805 27.069290 14354.546448
1.620822 0.900182 27.085444 14421.568047
1.640832 0.900915 27.099121 14494.120879
1.660842 0.896249 27.095909 14564.386364
1.680852 0.901792 27.072045 14638.392045
1.700862 0.898111 27.063955 14715.807910
1.720872 0.899281 27.081466 14795.701571
1.740883 0.902065 27.078118 14882.211765
1.760893 0.897739 27.069944 14962.804469
1.780903 0.901578 27.056889 15051.416667
1.800913 0.898957 27.067816 15143.304598
1.820923 0.898160 27.070857 15228.702857
1.840933 0.902981 27.075333 15323.827778
1.860943 0.898676 27.074860 15417.234637
1.880954 0.899642 27.073023 15509.470930
1.900964 0.900825 27.083077 15607.401099
1.920974 0.897865 27.071913 15703.551913
1.940984 0.903527 27.077288 15802.796610
1.960994 0.898485 27.084800 15901.051429
1.981004 0.899314 27.073864 15998.318182
2.001014 0.902086 27.060000 16101.380682
2.021025 0.898429 27.052967 16201.043956
2.041035 0.902783 27.078409 16302.301136
2.061045 0.899283 27.072135 4900.134831
2.081055 0.899186 27.079770 116.511494
2.101065 0.902571 27.084889 217.450000
2.121075 0.897340 27.103607 318.224044
2.141085 0.901271 27.075000 411.193182
2.161096 0.900893 27.067640 511.308989
2.181106 0.897090 27.066514 600.748571
2.201116 0.902695 27.080000 694.464865
2.221126 0.897193 27.087356 787.477011
2.241136 0.898337 27.089070 870.459302
2.261146 0.899920 27.087374 959.525140
2.281156 0.895777 27.079101 1043.528090
2.301167 0.898598 27.087956 1126.867403
2.321177 0.896819 27.101676 1212.955307
2.341187 0.895224 27.098652 1288.662921
2.361197 0.898711 27.095691 1370.895028
2.381207 0.893357 27.083931 1449.716763
2.401217 0.895087 27.083778 1521.805556
2.421227 0.895088 27.090435 1600.217391
2.441238 0.892983 27.075429 1669.131429
2.461248 0.897112 27.071489 1739.675532
2.481258 0.892821 27.059191 1809.884393
2.501268 0.893463 27.059209 1868.096045
2.521278 0.894244 27.076044 1932.247253
2.541288 0.890542 27.066298 1992.342541
2.561298 0.895822 27.072955 2048.954545
2.581309 0.893302 27.070909 2106.352273
2.601319 0.892351 27.074709 2160.111111
2.621329 0.894732 27.091429 2214.934524
2.641339 0.891133 27.092678 2268.158470
2.661349 0.894205 27.078652 2318.831461
2.681359 0.894198 27.068571 2372.208791
2.701369 0.891596 27.079556 2422.372222
2.721380 0.895072 27.098101 2471.776536
2.741390 0.892558 27.069944 2522.675978
2.761400 0.894886 27.076404 2570.494382
2.781410 0.894681 27.083636 2619.261364
2.801420 0.892664 27.076464 2666.607735
2.821430 0.896503 27.073258 2713.084270
2.841440 0.895320 27.086409 2761.171271
2.861451 0.895563 27.108671 2806.543353
2.881461 0.898644 27.099565 2851.972826
2.901471 0.895984 27.067640 2896.685393
2.921481 0.899597 27.061657 2940.994475
2.941491 0.899323 27.073446 2986.745763
2.961501 0.898849 27.085682 3030.653409
2.981511 0.902042 27.096444 3076.655556
3.001522 0.900947 27.091954 3124.275862
3.021532 0.903134 27.090337 3170.297753
3.041542 0.903636 27.080000 3217.943503
3.061552 0.905883 27.105556 3267.316667
3.081562 0.908473 27.090867 3315.173410
3.101572 0.908105 27.079075 3362.433526
3.121583 0.908471 27.081530 3410.065574
3.141593 0.688157 27.057479 3454.193277
3.161603 0.823108 27.063333 3498.877451
3.181613 0.844658 27.073196 3540.577320
3.201623 0.863906 27.072277 3583.732673
3.221633 0.872473 27.072525 3622.813131
3.241643 0.879320 27.088936 3661.015957
3.261654 0.883045 27.095102 3697.010204
3.281664 0.890857 27.090722 3730.396907
3.301674 0.889524 27.084000 3765.784211
3.321684 0.895225 27.072340 3793.792553
3.341694 0.901957 27.077083 3826.796875
3.361704 0.902614 27.086452 3853.301075
3.381714 0.905157 27.083830 3882.920213
3.401725 0.906282 27.089081 3909.032432
3.421735 0.905650 27.075026 3932.818653
3.441745 0.911620 27.075294 3960.021390
3.461755 0.908645 27.086919 3980.135135
3.481765 0.910220 27.083676 4004.281081
3.501775 0.914965 27.083850 4024.545455
3.521785 0.913273 27.091005 4047.539683
3.541796 0.913715 27.074696 4068.585635
3.561806 0.915338 27.075801 4083.232044
3.581816 0.915100 27.077872 4105.622340
3.601826 0.918626 27.072042 4126.623037
3.621836 0.915929 27.075824 4137.236264
3.641846 0.917931 27.085775 4152.422460
3.661856 0.920544 27.088649 4172.594595
3.681867 0.918775 27.089474 4189.005263
3.701877 0.921593 27.084520 4208.717514
3.721887 0.920930 27.080000 4228.507937
3.741897 0.921361 27.083111 4249.244444
3.761907 0.924565 27.066298 4282.348066
3.781917 0.923081 27.083125 4305.156250
3.801927 0.924298 27.084301 4341.688172
3.821938 0.924312 27.106885 4370.098361
3.841948 0.923113 27.087356 4407.120690
3.861958 0.928084 27.083077 4439.056410
3.881968 0.924016 27.066667 4479.901639
3.901978 0.925895 27.080663 4513.370166
3.921988 0.926571 27.088000 4551.627027
3.941998 0.925323 27.088177 4586.939227
3.962009 0.926381 27.075580 4620.729282
3.982019 0.926854 27.062703 4653.064865
4.002029 0.926257 27.076957 4689.070652
4.022039 0.929423 27.088696 4718.059783
4.042049 0.925927 27.076364 4752.213904
4.062059 0.927783 27.075359 4785.055249
4.082069 0.928599 27.092291 4814.541899
4.102080 0.926194 27.093763 4850.569892
4.122090 0.930277 27.097705 4878.901639
4.142100 0.927504 27.089783 4911.804348
4.162110 0.928265 27.093039 4940.198895
4.182120 0.928808 27.098737 4972.289474
4.202130 0.926598 27.106961 5003.248619
4.222140 0.930167 27.113149 5035.530387
