serial number: RI70_21209061
torque: 8
start_temp: 22 (23)
finish_temp: 23 (24)
note: montaz przymiar
0.000000 0.724023 22.724923 12861.856410
0.020010 0.721505 22.741667 12889.864583
0.040020 0.724133 22.732083 12916.567708
0.060030 0.723148 22.723333 12940.479167
0.080041 0.723090 22.745155 12966.577320
0.100051 0.726639 22.731000 13001.365000
0.120061 0.723116 22.725189 13034.794595
0.140071 0.725477 22.739400 13064.660000
0.160081 0.726672 22.745820 13101.698413
0.180091 0.725873 22.732308 13130.102564
0.200101 0.728426 22.727234 13167.313830
0.220112 0.726495 22.751717 13199.126263
0.240122 0.726374 22.761047 13236.486911
0.260132 0.728632 22.748085 13271.941489
0.280142 0.725848 22.725538 13308.671795
0.300152 0.729657 22.729424 13348.633508
0.320162 0.727324 22.736701 13385.262887
0.340172 0.727042 22.744000 13425.642105
0.360183 0.732132 22.760000 13466.428571
0.380193 0.726544 22.746804 13507.731959
0.400203 0.729956 22.744255 13550.265957
0.420213 0.731456 22.751746 13593.375661
0.440223 0.729518 22.732923 13638.528205
0.460233 0.732838 22.740317 13684.941799
0.480243 0.731938 22.775510 13732.214286
0.500254 0.731025 22.747807 13781.101604
0.520264 0.735154 22.765333 13831.938462
0.540274 0.731760 22.730316 13882.784211
0.560284 0.734791 22.724188 13935.094241
0.580294 0.733754 22.752042 13989.041885
0.600304 0.732674 22.752708 14044.447917
0.620314 0.737603 22.754921 14101.322751
0.640325 0.734100 22.771217 14158.677249
0.660335 0.736296 22.762340 14216.893617
0.680345 0.737220 22.741949 14278.907692
0.700355 0.735390 22.734093 14342.549223
0.720365 0.739840 22.740430 14407.284946
0.740375 0.737444 22.757083 14472.281250
0.760385 0.737416 22.749305 14539.866310
0.780396 0.741560 22.763351 14608.832461
0.800406 0.737673 22.765591 14678.854839
0.820416 0.741782 22.755602 14750.712042
0.840426 0.740507 22.743617 14824.813830
0.860436 0.740609 22.732565 14902.198953
0.880446 0.745364 22.730681 14982.036649
0.900456 0.741245 22.744130 15062.521739
0.920467 0.743867 22.743915 15144.624339
0.940477 0.744135 22.733191 15230.154255
0.960487 0.743512 22.750851 15315.893617
0.980497 0.746994 22.774043 15402.781915
1.000507 0.744126 22.783579 15490.742105
1.020517 0.744762 22.757660 15580.324468
1.040528 0.747304 22.738947 15670.063158
1.060538 0.744842 22.775401 15760.267380
1.080548 0.748026 22.744130 15849.695652
1.100558 0.747038 22.747083 15941.052083
1.120568 0.746621 22.743784 16036.281081
1.140578 0.751136 22.753548 16128.451613
1.160588 0.746599 22.734973 16223.176471
1.180599 0.749637 22.733261 16317.336957
1.200609 0.750279 22.747708 3611.578125
1.220619 0.747805 22.743656 122.435484
1.240629 0.753295 22.733846 215.263736
1.260639 0.749377 22.734180 309.000000
1.280649 0.750024 22.736720 399.407407
1.300659 0.753259 22.737081 492.627027
1.320670 0.749526 22.734681 582.569149
1.340680 0.754162 22.737143 669.373626
1.360690 0.751539 22.750316 757.157895
1.380700 0.751933 22.790820 843.797814
1.400710 0.756629 22.767368 930.036842
1.420720 0.750837 22.727059 1013.411765
1.440730 0.755134 22.757826 1095.858696
1.460741 0.754099 22.754505 1176.274725
1.480751 0.752383 22.762796 1255.247312
1.500761 0.757314 22.753583 1335.935829
1.520771 0.752521 22.744731 1413.967742
1.540781 0.754066 22.735824 1490.000000
1.560791 0.755994 22.729198 1565.513369
1.580801 0.752751 22.772620 1638.668449
1.600812 0.756773 22.765561 1709.588235
1.620822 0.753545 22.755722 1778.812834
1.640832 0.753292 22.747263 1843.424581
1.660842 0.757101 22.758065 1906.161290
1.680852 0.751775 22.768000 1967.942105
1.700862 0.754172 22.759783 2028.233696
1.720872 0.754866 22.753696 2086.141304
1.740883 0.752134 22.747033 2142.434066
1.760893 0.756514 22.762280 2198.735751
1.780903 0.752107 22.768432 2253.643243
1.800913 0.752212 22.762595 2307.962162
1.820923 0.754525 22.756022 2360.823204
1.840933 0.748314 22.723390 2413.576271
1.860943 0.753129 22.716407 2465.233533
1.880954 0.748948 22.722558 2515.656977
1.900964 0.747799 22.741921 2566.468927
1.920974 0.752984 22.746818 2616.704545
1.940984 0.747510 22.718844 2664.450867
1.960994 0.750144 22.706744 2710.779070
1.981004 0.749230 22.729885 2757.126437
2.001014 0.746313 22.728140 2802.918605
2.021025 0.750916 22.733257 2848.371429
2.041035 0.746577 22.724318 2893.386364
2.061045 0.747432 22.714091 2938.454545
2.081055 0.749027 22.727381 2981.505952
2.101065 0.743455 22.747191 3026.044944
2.121075 0.748522 22.774831 3072.382022
2.141085 0.744776 22.767186 3117.562874
2.161096 0.743217 22.743596 3162.505618
2.181106 0.747992 22.737572 3210.364162
2.201116 0.742751 22.753143 3257.068571
2.221126 0.744194 22.745475 3302.888268
2.241136 0.743623 22.760231 3348.491329
2.261146 0.740969 22.750058 3391.936416
2.281156 0.745651 22.724800 3433.097143
2.301167 0.740309 22.748023 3477.090395
2.321177 0.742082 22.767086 3516.320000
2.341187 0.742329 22.762081 3559.791908
2.361197 0.738394 22.758636 3597.681818
2.381207 0.743131 22.744719 3637.808989
2.401217 0.738381 22.726977 3670.040698
2.421227 0.738852 22.739556 3702.977778
2.441238 0.742388 22.731136 3737.187500
2.461248 0.736219 22.726364 3761.812500
2.481258 0.739757 22.734807 3797.563536
2.501268 0.737687 22.713810 3820.380952
2.521278 0.734823 22.716532 3848.606936
2.541288 0.740374 22.748973 3876.378378
2.561298 0.733669 22.720702 3901.222222
2.581309 0.735704 22.729670 3921.670330
2.601319 0.736650 22.739310 3948.511494
2.621329 0.731555 22.750222 3971.444444
2.641339 0.735843 22.765363 3985.072626
2.661349 0.732674 22.777727 4014.926136
2.681359 0.731180 22.744407 4034.751412
2.701369 0.735346 22.747746 4046.127168
2.721380 0.729882 22.775249 4068.082873
2.741390 0.732070 22.766966 4085.977528
2.761400 0.731274 22.744667 4099.727778
2.781410 0.727134 22.731561 4116.225434
2.801420 0.734001 22.765525 4130.259669
2.821430 0.726653 22.746742 4140.702247
2.841440 0.727986 22.723182 4161.670455
2.861451 0.729845 22.768913 4187.701087
2.881461 0.724437 22.787886 4199.422857
2.901471 0.729512 22.785137 4222.300546
2.921481 0.725959 22.757241 4253.712644
2.941491 0.724082 22.747933 4276.586592
2.961501 0.728281 22.760899 4309.955056
2.981511 0.723074 22.736044 4339.214286
3.001522 0.726303 22.729333 4373.744444
3.021532 0.723788 22.744396 4405.956044
3.041542 0.722072 22.785989 4441.344633
3.061552 0.726041 22.758011 4471.254144
3.081562 0.720445 22.767556 4509.788889
3.101572 0.721406 22.746897 4535.310345
3.121583 0.722207 22.751444 4574.336898
3.141593 0.718463 22.739006 4599.441989
3.161603 0.722525 22.753220 4634.067797
3.181613 0.719175 22.755604 4662.417582
3.201623 0.718139 22.725029 4684.742857
3.221633 0.720850 22.720884 4716.679558
3.241643 0.717865 22.754225 4743.636364
3.261654 0.718965 22.758667 4767.666667
3.281664 0.718350 22.798696 4795.913043
3.301674 0.715110 22.776271 4827.525424
3.321684 0.719944 22.777923 4847.737705
3.341694 0.714973 22.763261 4881.048913
3.361704 0.716231 22.766995 4912.344262
3.381714 0.717434 22.762667 4938.516667
3.401725 0.713165 22.771977 4969.610169
3.421735 0.717614 22.771844 5000.497207
3.441745 0.713985 22.745027 5032.352941
3.461755 0.713489 22.767912 5064.285714
3.481765 0.716347 22.735000 5106.277174
3.501775 0.712289 22.728261 5139.331522
3.521785 0.714902 22.742793 5178.100559
3.541796 0.714146 22.783240 5209.033520
3.561806 0.711735 22.794098 5246.896175
3.581816 0.715181 22.759149 5279.058511
3.601826 0.711852 22.747182 5316.950276
3.621836 0.713675 22.778000 5350.733333
3.641846 0.714424 22.755084 5386.692737
3.661856 0.711909 22.750000 5424.608696
3.681867 0.715442 22.757204 5460.553763
3.701877 0.713324 22.770710 5501.918033
3.721887 0.711892 22.760216 5541.589189
3.741897 0.714843 22.758202 5583.679775
3.761907 0.711031 22.752787 5628.180328
3.781917 0.714193 22.783596 5674.803371
3.801927 0.713580 22.786596 5722.632979
3.821938 0.710452 22.756384 5772.632768
3.841948 0.714938 22.740973 5823.345946
3.861958 0.711181 22.743825 5877.595628
3.881968 0.712464 22.737268 5932.808743
3.901978 0.712816 22.745495 5989.203297
3.921988 0.709524 22.765246 6048.196721
3.941998 0.713730 22.738343 6109.441989
3.962009 0.711016 22.754033 6173.817680
3.982019 0.709601 22.774545 6242.352941
4.002029 0.711443 22.757377 6313.825137
4.022039 0.708703 22.772240 6388.480874
4.042049 0.711601 22.760670 6465.100559
4.062059 0.710935 22.755132 6546.820106
4.082069 0.708257 22.769061 6632.839779
4.102080 0.713125 22.762667 6719.366667
4.122090 0.711254 22.745532 6811.042553
4.142100 0.712279 22.740227 6904.022727
4.162110 0.713969 22.768172 7000.854839
4.182120 0.711704 22.749838 7102.313514
4.202130 0.716897 22.769111 7205.438889
4.222140 0.714958 22.778876 7309.915730
4.242151 0.714693 22.774286 7417.956044
4.262161 0.717628 22.771892 7530.497297
4.282171 0.715377 22.788571 7647.439560
4.302181 0.718710 22.764199 7763.845304
4.322191 0.718151 22.772514 7883.201117
4.342201 0.716163 22.770227 8004.659091
4.362211 0.721096 22.786524 8127.037433
4.382222 0.717572 22.777459 8253.022099
4.402232 0.719588 22.789333 8377.855556
4.422242 0.720038 22.781364 8500.812500
4.442252 0.717981 22.793556 8623.911111
4.462262 0.722402 22.785856 8746.331492
4.482272 0.720020 22.784835 8866.313187
4.502282 0.718234 22.748132 8985.719780
4.522293 0.721873 22.764022 9100.335196
4.542303 0.719408 22.776575 9212.580110
4.562313 0.722362 22.791913 9322.103825
4.582323 0.721000 22.783277 9426.909605
4.602333 0.719227 22.784130 9530.152174
4.622343 0.723245 22.763352 9628.648045
4.642353 0.721174 22.789834 9723.812155
4.662364 0.721355 22.779091 9815.056818
4.682374 0.722893 22.760670 9902.324022
4.702384 0.719582 22.753778 9988.161111
4.722394 0.724629 22.756541 10070.648649
4.742404 0.721974 22.771173 10150.022346
4.762414 0.721616 22.777654 10226.614525
4.782424 0.724141 22.773043 10299.831522
4.802435 0.721572 22.768539 10370.466292
4.822445 0.724983 22.788197 10437.775956
4.842455 0.723676 22.790930 10502.034884
4.862465 0.720790 22.769011 10563.708791
4.882475 0.726640 22.773260 10623.790055
4.902485 0.723277 22.780220 10681.763736
4.922495 0.723851 22.764828 10736.948276
4.942506 0.724779 22.761547 10789.132597
4.962516 0.722037 22.772391 10841.048913
4.982526 0.727011 22.789318 10891.170455
5.002536 0.724126 22.783778 10939.127778
5.022546 0.724314 22.802235 10984.653631
5.042556 0.725548 22.792768 11028.197740
5.062567 0.723494 22.811868 11071.587912
5.082577 0.726952 22.815165 11113.186813
5.102587 0.725954 22.788603 11153.843575
5.122597 0.723391 22.759769 11192.421965
5.142607 0.727966 22.793224 11230.874317
5.162617 0.725796 22.795307 11268.067039
5.182627 0.727466 22.764045 11304.825843
5.202638 0.727286 22.758605 11339.377907
5.222648 0.724722 22.752131 11374.857923
5.242658 0.730030 22.789565 11409.478261
5.262668 0.726820 22.796343 11443.022857
5.282678 0.726072 22.780791 11474.107345
5.302688 0.728578 22.806742 11504.511236
5.322698 0.726335 22.818462 11530.901099
5.342709 0.729345 22.817174 11558.657609
5.362719 0.727654 22.796136 11583.994318
5.382729 0.725457 22.805778 11609.800000
5.402739 0.728584 22.762247 11637.629213
5.422749 0.726168 22.764246 11665.391061
5.442759 0.727340 22.768539 11694.685393
5.462769 0.726896 22.793933 11721.702247
5.482780 0.723838 22.788132 11746.357143
5.502790 0.728260 22.766517 11768.000000
5.522800 0.724666 22.750838 11793.117318
5.542810 0.724557 22.791508 11816.765363
5.562820 0.725839 22.787676 11841.443243
5.582830 0.723676 22.770805 11862.321839
5.602840 0.726548 22.747955 11889.454545
5.622851 0.724561 22.767293 11913.668508
5.642861 0.723839 22.793626 11940.104396
5.662871 0.726325 22.773563 11965.643678
5.682881 0.724011 22.779669 11997.226519
