serial number: RI70_21209062
torque: 8
start_temp: 4 (244)
finish_temp: 16 (244)
note: montaz przymiar
0.980497 0.591389 130.770760 13369.695906
1.000507 0.596730 140.096145 13416.156627
1.020517 0.592908 134.254884 13453.784884
1.040528 0.593604 121.996145 13494.102410
1.060538 0.597547 134.900000 13531.331325
1.080548 0.592630 132.428235 13569.335294
1.100558 0.598021 129.978333 13610.589286
1.120568 0.595529 131.931152 13650.163636
1.140578 0.594357 137.080471 13691.247059
1.160588 0.599140 125.836706 13736.147059
1.180599 0.593713 127.588606 13780.903030
1.200609 0.597940 136.017831 13826.042169
1.220619 0.597314 136.962573 13874.953216
1.240629 0.594104 146.943294 13924.247059
1.260639 0.599025 145.437333 13975.393939
1.280649 0.596142 132.903273 14028.175758
1.300659 0.595937 133.060952 14080.589286
1.320670 0.600930 127.712381 14136.892857
1.340680 0.593800 124.047101 14194.928994
1.360690 0.599728 125.692099 14254.160494
1.380700 0.597424 131.485647 14316.894118
1.400710 0.597461 125.560471 14382.164706
1.420720 0.600720 118.831707 14451.024390
1.440730 0.594550 120.299181 14521.128655
1.460741 0.599621 121.454611 14595.065868
1.480751 0.598630 130.909006 14673.654971
1.500761 0.594991 136.497317 14752.134146
1.520771 0.601313 130.380118 14836.201183
1.540781 0.596258 135.367805 14921.359756
1.560791 0.597082 141.746826 15008.107784
1.580801 0.599821 139.272899 15101.893491
1.600812 0.594253 132.859645 15194.000000
1.620822 0.600032 137.913697 15291.309091
1.640832 0.596360 120.424615 15388.124260
1.660842 0.594635 128.843314 15485.207101
1.680852 0.600157 130.445301 15588.590361
1.700862 0.593646 135.726824 15686.994118
1.720872 0.597817 131.215215 15790.239264
1.740883 0.599255 128.085549 15894.190751
1.760893 0.594059 122.268148 15997.808642
1.780903 0.600919 118.032381 16106.380952
1.800913 0.595541 123.765917 16213.816568
1.820923 0.595518 137.490299 16324.185629
1.840933 0.600635 141.303758 550.515152
1.860943 0.593515 131.319521 161.664671
1.880954 0.599680 134.928810 278.619048
1.900964 0.598392 137.944048 390.196429
1.920974 0.595815 126.182545 498.993939
1.940984 0.602554 127.982515 611.592814
1.960994 0.595271 128.632791 717.750000
1.981004 0.600596 133.735422 825.012048
