serial number: JANUSZ_3_RI80_21414853
torque: 16
start_temp: 25 (26)
finish_temp: 25 (27)
note: ma interpolacje
0.000000 0.431167 25.000000 0.000000
0.020010 0.436770 25.000000 0.000000
0.040020 0.440513 25.000000 0.000000
0.060030 0.426765 25.000000 0.000000
0.080041 0.441093 25.000000 0.000000
0.100051 0.432136 25.000000 0.000000
0.120061 0.430763 25.000000 0.000000
0.140071 0.440585 25.000000 0.000000
0.160081 0.423836 25.000000 0.000000
0.180091 0.435786 25.000000 0.000000
0.200101 0.431976 25.000000 0.000000
0.220112 0.423571 25.000000 0.000000
0.240122 0.437853 25.000000 0.000000
0.260132 0.423307 25.000000 0.000000
0.280142 0.429503 25.000000 0.000000
0.300152 0.432872 25.000000 0.000000
0.320162 0.419335 25.000000 0.000000
0.340172 0.432762 25.000000 0.000000
0.360183 0.422495 25.000000 0.000000
0.380193 0.421856 25.000000 0.000000
0.400203 0.431641 25.000000 0.000000
0.420213 0.415189 25.000000 0.000000
0.440223 0.426814 25.000000 0.000000
0.460233 0.423460 25.000000 0.000000
0.480243 0.415782 25.000000 0.000000
0.500254 0.429798 25.000000 0.000000
0.520264 0.414382 25.000000 0.000000
0.540274 0.421926 25.000000 0.000000
0.560284 0.426328 25.000000 0.000000
0.580294 0.411451 25.000000 0.000000
0.600304 0.426659 25.000000 0.000000
0.620314 0.415954 25.000000 0.000000
0.640325 0.415177 25.000000 0.000000
0.660335 0.428358 25.000000 0.000000
0.680345 0.409376 25.000000 0.000000
0.700355 0.421945 25.000000 0.000000
0.720365 0.419153 25.000000 0.000000
0.740375 0.409890 25.000000 0.000000
0.760385 0.426304 25.000000 0.000000
0.780396 0.410669 25.000000 0.000000
0.800406 0.416687 25.000000 0.000000
0.820416 0.423772 25.000000 0.000000
0.840426 0.408085 25.000000 0.000000
0.860436 0.422840 25.000000 0.000000
0.880446 0.413153 25.000000 0.000000
0.900456 0.412094 25.000000 0.000000
0.920467 0.425271 25.000000 0.000000
0.940477 0.406571 25.000000 0.000000
0.960487 0.419381 25.000000 0.000000
0.980497 0.417818 25.000000 0.000000
1.000507 0.408874 25.000000 0.000000
1.020517 0.425386 25.000000 0.000000
1.040528 0.408948 25.000000 0.000000
1.060538 0.416375 25.000000 0.000000
1.080548 0.423719 25.000000 0.000000
1.100558 0.407199 25.000000 0.000000
1.120568 0.423587 25.000000 0.000000
1.140578 0.413886 25.000000 0.000000
1.160588 0.412537 25.000000 0.000000
1.180599 0.426762 25.000000 0.000000
1.200609 0.405783 25.000000 0.000000
1.220619 0.419816 25.000000 0.000000
1.240629 0.418469 25.000000 0.000000
1.260639 0.408905 25.000000 0.000000
1.280649 0.425998 25.000000 0.000000
1.300659 0.408788 25.000000 0.000000
1.320670 0.416176 25.000000 0.000000
1.340680 0.424127 25.000000 0.000000
1.360690 0.407321 25.000000 0.000000
1.380700 0.423192 25.000000 0.000000
1.400710 0.413602 25.000000 0.000000
1.420720 0.412795 25.000000 0.000000
1.440730 0.427124 25.000000 0.000000
1.460741 0.407097 25.000000 0.000000
1.480751 0.420778 25.000000 0.000000
1.500761 0.420499 25.000000 0.000000
1.520771 0.410930 25.000000 0.000000
1.540781 0.427142 25.000000 0.000000
1.560791 0.410511 25.000000 0.000000
1.580801 0.419001 25.000000 0.000000
1.600812 0.426312 25.000000 0.000000
1.620822 0.408928 25.000000 0.000000
1.640832 0.425605 25.000000 0.000000
1.660842 0.416560 25.000000 0.000000
1.680852 0.416160 25.000000 0.000000
1.700862 0.431606 25.000000 0.000000
1.720872 0.409915 25.000000 0.000000
1.740883 0.424943 25.000000 0.000000
1.760893 0.424272 25.000000 0.000000
1.780903 0.414245 25.000000 0.000000
1.800913 0.431345 25.000000 0.000000
1.820923 0.413477 25.000000 0.000000
1.840933 0.422582 25.000000 0.000000
1.860943 0.430554 25.000000 0.000000
1.880954 0.413611 25.000000 0.000000
1.900964 0.430547 25.000000 0.000000
1.920974 0.420748 25.000000 0.000000
1.940984 0.421897 25.000000 0.000000
1.960994 0.434766 25.000000 0.000000
1.981004 0.414515 25.000000 0.000000
2.001014 0.429405 25.000000 0.000000
2.021025 0.427149 25.000000 0.000000
2.041035 0.419687 25.000000 0.000000
2.061045 0.435725 25.000000 0.000000
2.081055 0.418445 25.000000 0.000000
2.101065 0.428123 25.000000 0.000000
2.121075 0.434971 25.000000 0.000000
2.141085 0.417702 25.000000 0.000000
2.161096 0.435742 25.000000 0.000000
2.181106 0.425657 25.000000 0.000000
2.201116 0.426330 25.000000 0.000000
2.221126 0.440070 25.000000 0.000000
2.241136 0.418585 25.000000 0.000000
2.261146 0.434706 25.000000 0.000000
2.281156 0.433059 25.000000 0.000000
2.301167 0.423722 25.000000 0.000000
2.321177 0.441079 25.000000 0.000000
2.341187 0.423909 25.000000 0.000000
2.361197 0.434230 25.000000 0.000000
2.381207 0.441384 25.000000 0.000000
2.401217 0.424598 25.000000 0.000000
2.421227 0.441936 25.000000 0.000000
2.441238 0.432941 25.000000 0.000000
2.461248 0.433945 25.000000 0.000000
2.481258 0.446522 25.000000 0.000000
2.501268 0.427380 25.000000 0.000000
2.521278 0.442521 25.000000 0.000000
2.541288 0.440871 25.000000 0.000000
2.561298 0.433571 25.000000 0.000000
2.581309 0.449083 25.000000 0.000000
2.601319 0.433054 25.000000 0.000000
2.621329 0.442799 25.000000 0.000000
2.641339 0.449801 25.000000 0.000000
2.661349 0.434013 25.000000 0.000000
2.681359 0.451387 25.000000 0.000000
2.701369 0.440822 25.000000 0.000000
2.721380 0.442549 25.000000 0.000000
2.741390 0.454552 25.000000 0.000000
2.761400 0.435130 25.000000 0.000000
2.781410 0.451662 25.000000 0.000000
2.801420 0.449865 25.000000 0.000000
2.821430 0.440602 25.000000 0.000000
2.841440 0.394570 25.000000 0.000000
2.861451 0.390629 25.000000 0.000000
2.881461 0.427895 25.000000 0.000000
2.901471 0.441545 25.000000 0.000000
2.921481 0.429646 25.000000 0.000000
2.941491 0.449049 25.000000 0.000000
2.961501 0.440894 25.000000 0.000000
2.981511 0.442638 25.000000 0.000000
3.001522 0.453584 25.000000 0.000000
3.021532 0.437715 25.000000 0.000000
3.041542 0.452681 25.000000 0.000000
3.061552 0.450144 25.000000 0.000000
3.081562 0.444188 25.000000 0.000000
3.101572 0.458761 25.000000 0.000000
3.121583 0.443487 25.000000 0.000000
3.141593 0.453933 25.000000 0.000000
3.161603 0.458630 25.000000 0.000000
3.181613 0.445880 25.000000 0.000000
3.201623 0.462511 25.000000 0.000000
3.221633 0.452409 25.000000 0.000000
3.241643 0.453403 25.000000 0.000000
3.261654 0.464050 25.000000 0.000000
3.281664 0.448564 25.000000 0.000000
3.301674 0.462762 25.000000 0.000000
3.321684 0.460548 25.000000 0.000000
3.341694 0.453696 25.000000 0.000000
3.361704 0.467664 25.000000 0.000000
3.381714 0.453188 25.000000 0.000000
3.401725 0.461738 25.000000 0.000000
3.421735 0.466370 25.000000 0.000000
3.441745 0.454751 25.000000 0.000000
3.461755 0.468753 25.000000 0.000000
3.481765 0.459903 25.000000 0.000000
3.501775 0.460812 25.000000 0.000000
3.521785 0.468379 25.000000 0.000000
3.541796 0.455945 25.000000 0.000000
3.561806 0.468354 25.000000 0.000000
3.581816 0.464037 25.000000 0.000000
3.601826 0.460405 25.000000 0.000000
3.621836 0.471101 25.000000 0.000000
3.641846 0.459055 25.000000 0.000000
3.661856 0.467002 25.000000 0.000000
3.681867 0.467848 25.000000 0.000000
3.701877 0.459635 25.000000 0.000000
3.721887 0.473827 25.000000 0.000000
3.741897 0.461923 25.000000 0.000000
3.761907 0.465962 25.000000 0.000000
3.781917 0.470772 25.000000 0.000000
3.801927 0.459101 25.000000 0.000000
3.821938 0.471734 25.000000 0.000000
3.841948 0.464914 25.000000 0.000000
3.861958 0.463511 25.000000 0.000000
3.881968 0.473254 25.000000 0.000000
3.901978 0.459728 25.000000 0.000000
