serial number: RI80_21414858
torque: 16
start_temp: 23 (23)
finish_temp: 23 (25)
note: montaz na obrotach
0.000000 0.299028 23.007921 11912.801980
0.020010 0.295009 23.007129 11936.767327
0.040020 0.298075 23.004776 11971.497512
0.060030 0.297343 23.000000 12014.812808
0.080041 0.294310 23.000000 12035.133663
0.100051 0.299180 23.005347 12085.797030
0.120061 0.295726 23.010680 12114.092233
0.140071 0.296778 23.003600 12151.640000
0.160081 0.298498 23.004950 12196.673267
0.180091 0.294662 23.009552 12214.243781
0.200101 0.299388 23.005320 12264.586207
0.220112 0.297290 23.004950 12286.123762
0.240122 0.296656 23.000000 12321.129353
0.260132 0.299103 23.001592 12359.104478
0.280142 0.295110 23.006897 12379.561576
0.300152 0.299114 23.010800 12421.170000
0.320162 0.298455 23.013267 12452.425743
0.340172 0.295566 23.011961 12473.808824
0.360183 0.300127 23.009495 12521.974747
0.380193 0.296733 23.001569 12533.745098
0.400203 0.297821 23.008241 12580.321608
0.420213 0.299914 23.011881 12607.034653
0.440223 0.295589 23.011542 12630.194030
0.460233 0.300117 23.007129 12676.945545
0.480243 0.298384 23.000000 12695.646766
0.500254 0.298050 23.000000 12729.430693
0.520264 0.301581 23.009800 12767.095000
0.540274 0.296617 23.004623 12777.296482
0.560284 0.300969 23.009447 12825.788945
0.580294 0.301160 23.018800 12842.420000
0.600304 0.297878 23.008431 12868.397059
0.620314 0.302230 23.003878 12911.801020
0.640325 0.299300 23.002211 12919.155779
0.660335 0.299498 23.005320 12970.679803
0.680345 0.302149 23.002653 12996.183673
0.700355 0.297809 23.004706 13020.823529
0.720365 0.302846 23.000000 13078.366834
0.740375 0.301398 23.005000 13093.220000
0.760385 0.300744 23.000000 13140.535354
0.780396 0.304209 23.000000 13181.989744
0.800406 0.299561 23.009154 13202.039801
0.820416 0.303599 23.000800 13268.980000
0.840426 0.304169 23.005102 13290.780612
0.860436 0.300290 23.005771 13333.905473
0.880446 0.305131 23.004286 13393.811224
0.900456 0.302821 23.005076 13408.390863
0.920467 0.303136 23.003618 13477.688442
0.940477 0.306189 23.001436 13516.000000
0.960487 0.301245 23.005000 13547.310000
0.980497 0.306095 23.003673 13621.010204
1.000507 0.304549 23.002010 13643.773869
1.020517 0.303741 23.004513 13705.405128
1.040528 0.307498 23.000000 13762.097436
1.060538 0.302494 23.000000 13786.131313
1.080548 0.307394 23.003618 13869.085427
1.100558 0.307707 23.012000 13900.047368
1.120568 0.303516 23.000000 13950.070000
1.140578 0.308355 23.005155 14022.113402
1.160588 0.305766 23.002640 14042.005076
1.180599 0.306709 23.007551 14124.270408
1.200609 0.309422 23.000000 14166.476684
1.220619 0.303844 23.005076 14205.862944
1.240629 0.309247 23.006497 14290.167513
1.260639 0.307814 23.011399 14316.098446
1.280649 0.307158 23.002653 14388.785714
1.300659 0.311155 23.005236 14450.858639
1.320670 0.305730 23.000000 14482.975000
1.340680 0.310952 23.001885 14578.073298
1.360690 0.311342 23.004352 14615.751295
1.380700 0.307337 23.008821 14678.902564
1.400710 0.312359 23.000838 14762.465969
1.420720 0.309263 23.015228 14796.035533
1.440730 0.310798 23.028482 14891.382199
1.460741 0.313112 23.009149 14950.132979
1.480751 0.307164 23.004286 15001.505102
1.500761 0.313364 23.021762 15104.963731
1.520771 0.311721 23.014093 15148.886010
1.540781 0.310685 23.000000 15236.525510
1.560791 0.314836 23.008000 15322.763158
1.580801 0.308761 23.002474 15372.948454
1.600812 0.314182 23.012500 15487.812500
1.620822 0.313963 23.014526 15553.036842
1.640832 0.310163 23.004398 15630.848168
1.660842 0.315375 23.000000 15744.005208
1.680852 0.311727 23.002737 15801.136842
1.700862 0.313841 23.002474 15911.963918
1.720872 0.316157 23.009053 16005.426316
1.740883 0.310131 23.019267 16072.905759
1.760893 0.316185 23.016632 16198.536842
1.780903 0.314914 23.002292 16269.354167
1.800913 0.314090 23.001250 10220.989583
1.820923 0.317840 23.009574 92.367021
1.840933 0.311979 23.014316 153.584211
1.860943 0.317228 23.006947 271.878947
1.880954 0.316478 23.021702 356.324468
1.900964 0.313340 23.004264 429.360406
1.920974 0.317454 23.000000 550.288043
1.940984 0.314181 23.000000 611.734375
1.960994 0.316707 23.000000 705.148148
1.981004 0.318114 23.000842 804.278947
2.001014 0.312691 23.009167 860.994792
2.021025 0.318421 23.005957 971.202128
2.041035 0.316557 23.008958 1041.322917
2.061045 0.316050 23.004233 1109.952381
2.081055 0.319388 23.040426 1213.436170
2.101065 0.314335 23.004421 1262.636842
2.121075 0.319332 23.002963 1351.534392
